qid	egileLabel	wd
Q1318	Frai Bartolomeo	Q7780
Q521	Wilhelm von Humboldt	Q77888
Q524	Karl August Friedrich Mahn	Q118943
Q1333	Bernart Etxepare	Q127609
Q510	Peter Simon Pallas	Q155914
Q488	Henri Gavel	Q220186
Q1335	Joan Perez Betolaza	Q239694
Q530	Sabino Arana Goiri	Q332663
Q506	Luis Luziano Bonaparte	Q523352
Q532	Pierre Gustave Brunet	Q578213
Q1329	Martin Duhalde	Q591429
Q1286	Manuel Lekuona	Q631017
Q503	Arnold von Harff	Q645951
Q543	Pello Salaburu	Q788115
Q473	Joseba Lakarra	Q941098
Q1396	Charles Bordes	Q1063780
Q537	Henrike Knörr	Q1151540
Q557	Federico Baraibar	Q1276479
Q553	Franz Josef Hausmann	Q1447496
Q1287	Jose Manuel Lujanbio	Q1582964
Q531	Jacques Allières	Q1677876
Q555	Ladislav Zgusta	Q1755374
Q513	Martin Löpelmann	Q1904506
Q477	Koldo Mitxelena	Q2457804
Q493	Larry Trask	Q2499834
Q1310	Joanes Leizarraga	Q2746075
Q486	Adolfo Arejita	Q2824714
Q1312	Agustin Zarrantz	Q2827345
Q464	Andres Urrutia	Q2846535
Q1293	Antonio Maria Labaien	Q2857347
Q495	Arnaut Oihenart	Q2863280
Q1420	Arturo Kanpion	Q2865943
Q516	Agosti Xaho	Q2871561
Q1340	Pedro Axular	Q2874829
Q479	Ibon Sarasola	Q2876484
Q542	Bernardo Estornes Lasa	Q2898950
Q533	Xarles Bidegain	Q2960394
Q539	Luis Villasante	Q3068803
Q1351	Txomin Agirre	Q3068808
Q511	Toribio Etxebarria	Q3078967
Q475	Resurreccion Maria Azkue	Q3109903
Q536	Koldo Zuazo	Q3138338
Q509	Piarres Lafitte	Q3138345
Q1290	Xabier Maria Munibe Peñafloridako Kondea	Q3139331
Q782	Xabier Kintana	Q3139339
Q1297	Jean Duvoisin	Q3169265
Q515	Jean-Baptiste Bullet	Q3170529
Q1336	Jean Barbier	Q3170595
Q1304	Jean Elizalde	Q3175862
Q1331	Jose Agerre	Q3183976
Q1347	Jose Maria Iparragirre	Q3186448
Q565	Jose Mari Satrustegi	Q3186458
Q1402	Juan Bautista Eguzkitza	Q3187574
Q529	Juan Gorostiaga	Q3187662
Q559	Juan San Martin	Q3187789
Q1394	Jules Moulier	Q3188809
Q474	Julien Vinson	Q3189701
Q575	Lino Akesolo	Q3241644
Q563	Koldo Eleizalde	Q3266657
Q480	Miren Azkarate	Q3316026
Q508	Joan Antonio Mogel	Q3321878
Q1313	Agustin Kardaberaz	Q3325078
Q1311	Nikolas Ormaetxea	Q3356420
Q484	Patxi Altuna	Q3370189
Q785	Patxi Uribarren	Q3370193
Q757	Pierre Lafitte	Q3385724
Q517	Pierre Lhande	Q3385966
Q525	Txomin Peillen	Q3542631
Q538	Wentworth Webster	Q3567291
Q551	Carla Marello	Q3658854
Q1323	Felipe Arrese Beitia	Q3752448
Q1296	Jose Mari Agirre	Q3757000
Q520	Ixaka Lopez Mendizabal	Q3772654
Q1341	Joakin Lizarraga	Q4856112
Q504	Pedro Antonio Añibarro	Q4890107
Q1344	Luis Jauregi	Q4890116
Q1373	Jean-Baptiste Elizanburu	Q4890163
Q1386	Joanes Etxeberri (Sarakoa)	Q4890180
Q1363	Bilintx	Q4890200
Q1289	Joan Tartas	Q4890209
Q1365	Ebaristo Bustintza	Q4890270
Q498	Manuel Larramendi	Q4890298
Q1338	Jean Hiriart Urruti	Q4890926
Q1291	Estepan Urkiaga	Q4891594
Q547	Kerstin Norén	Q4970223
Q776	Gorka Aulestia	Q5586561
Q501	Nicolaas Gerardus Hendricus Deen	Q5702708
Q1337	Juan Perez de Lazarraga	Q6205370
Q457	Jose Ignacio Hualde	Q6292505
Q476	Jose Manterola	Q6292958
Q494	Richard Coates	Q7324807
Q456	Blanca Urgell	Q8248653
Q528	Jose Maria Iribarren	Q8578973
Q1381	Errose Bustintza	Q8777444
Q541	Fidel Fita	Q8961578
Q1371	Francisco Ignacio Lardizabal	Q8962397
Q1409	Joanes Etxeberri (Ziburukoa)	Q9012115
Q519	José María Lakoizketa	Q9014530
Q505	Juan Ignazio Iztueta	Q9015632
Q577	Pablo Pedro Astarloa	Q9054010
Q496	Rafael Mikoleta	Q9065940
Q1378	Juan Antonio Ubillos	Q11057835
Q514	Manuel Agud Querol	Q11690530
Q1419	Bizenta Mogel	Q11705052
Q527	Antonio Griera	Q11905856
Q1401	Bernard Gazteluzar	Q11909117
Q1295	Emeterio Arrese	Q11919124
Q1326	Jean Etxepare Bidegorri	Q11927447
Q1334	Jean Etxepare Landerretxe	Q11927449
Q1298	Juan Bautista Agirre	Q11929259
Q1327	Juan Mateo Zabala	Q11929319
Q500	Justo Garate	Q11929503
Q560	Manuel Egileor	Q11935033
Q1319	Nemesio Etxaniz	Q11938541
Q1385	Pedro Ignazio Barrutia	Q11940705
Q1406	Pedro Mari Otaño	Q11940728
Q1303	Sebastian Mendiburu	Q11947956
Q554	Herbert Ernst Wiegand	Q12019508
Q1362	Agustin Iturriaga	Q12252871
Q1353	Alejandro Bilbao	Q12253145
Q1408	Alejandro Tapia Perurena	Q12253153
Q1375	Alexandre Mihura	Q12253162
Q1372	André Baratziart	Q12253505
Q497	Andres Eliseo Mañarikua	Q12253516
Q1399	Andres Iturzaeta	Q12253517
Q581	Angel Zelaieta	Q12253559
Q1377	Antero Apaolaza	Q12253616
Q1309	Antonio Arruti	Q12253643
Q573	Arantza Diaz de Ilarraza Sanchez	Q12253843
Q1315	Arnaut Abadia	Q12254040
Q1391	Athanase Belapeire	Q12254363
Q1350	Augustin Anabitarte	Q12254472
Q1361	Bartolome Olaetxea	Q12254805
Q1321	Bazilio Joanategi	Q12254872
Q1388	Bernardo Maria Garro	Q12255046
Q1364	Beñat Mardo	Q12255113
Q1294	Bernard Larregi	Q12255114
Q1393	Bitor Garitaonandia	Q12255287
Q1384	Damaso Legaz	Q12256068
Q534	Edward Spencer Dodgson	Q12256501
