authorname	Wikidata_Qid	MLV_Qid
Manuel Lekuona	Q631017	Q1286
Txirrita	Q1582964	Q1287
"Pillipa Zugatzaga - ""J.L. Zutagape"""	Q12265983	Q1288
Juan Tartas	Q4890209	Q1289
"Franzisko Xabier Munibe - ""Peñafloridako Kondea"""	Q3139331	Q1290
"Estepan Urkiaga - ""Lauaxeta"""	Q4891594	Q1291
Eusebio Maria Azkue	Q12257439	Q1292
Antonio Maria Labaien	Q2857347	Q1293
Bernard Larregi	Q12255114	Q1294
Emeterio Arrese	Q11919124	Q1295
Xabier Lizardi	Q3757000	Q1296
Jean Pierre Duvoisin	Q3169265	Q1297
Juan Bautista Agirre	Q11929259	Q1298
Jose Antonio Uriarte	Q12260591	Q1299
Joseba Zubimendi	Q12260769	Q1300
Mixel Elizanburu	Q12263722	Q1301
Jean Baptiste Constantin	Q16517789	Q1302
Sebastian Mendiburu	Q11947956	Q1303
"Jean Elizalde - ""Zerbitzari"""	Q3175862	Q1304
Jean Baptiste Althabe	Q51456894	Q1305
Aranbillaga	Q132857544	Q1306
Arnauld François Maitie	Q23816883	Q1307
Kristobal Harizmendi	Q12261649	Q1308
Antonio Arruti	Q12253643	Q1309
Joanes Leizarraga	Q2746075	Q1310
"Nikolas Ormaetxea - ""Orixe"""	Q3356420	Q1311
Polikarpo Iraizozkoa	Q2827345	Q1312
Agustin Kardaberaz	Q3325078	Q1313
"Gratien Adema - ""Zaldubi"""	Q12258728	Q1314
Arnaud Abbadie	Q12254040	Q1315
Mongongo Dasanza	Q12263782	Q1316
Juan Jose Mogel	Q12261009	Q1317
Nemesio Etxaniz	Q11938541	Q1319
Ramos Azkarate	Q12266469	Q1320
Bazilio Joanategi	Q12254872	Q1321
Salvat Monho	Q12266821	Q1322
Felipe Arrese Beitia	Q3752448	Q1323
Pierre Argaiñaratz	Q12265948	Q1324
Jose Manuel Etxeita	Q12260670	Q1325
Jean Etxepare Bidegorri	Q11927447	Q1326
Juan Mateo Zabala	Q11929319	Q1327
Loramendi	Q12260945	Q1328
Martin Duhalde	Q591429	Q1329
Pedro Migel Urruzuno	Q12265686	Q1330
"Jose Agerre - ""Gurbindo"""	Q3183976	Q1331
Bernard Etxepare	Q127609	Q1333
Jean Etxepare Landerretxe	Q11927449	Q1334
Betolaza	Q239694	Q1335
Jean Barbier	Q3170595	Q1336
"Joan Perez de Lazarraga - ""Lazarraga"""	Q6205370	Q1337
Jean Hiriart Urruti	Q4890926	Q1338
Franzisko Laphitz	Q12257999	Q1339
