item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q2163	Ipuinak	Agustin Iturriaga	Q2162	https://monumenta.wikibase.cloud/wiki/Testua:IturriagaIpuinak/TEI	IturriagaIpuinak
Q2151	Koplak	Beñat Mardo	Q2150	https://monumenta.wikibase.cloud/wiki/Testua:MardoKoplak/TEI	MardoKoplak
Q2155	Koplak	Jean-Baptiste Elizanburu	Q2154	https://monumenta.wikibase.cloud/wiki/Testua:ElizanburuJBKoplak/TEI	ElizanburuJBKoplak
Q2159	Koplak	Piarres Ibarrart	Q2158	https://monumenta.wikibase.cloud/wiki/Testua:IbarrartKoplak/TEI	IbarrartKoplak
Q2165	Koplak	Joanes Otxalde	Q2164	https://monumenta.wikibase.cloud/wiki/Testua:OtxaldeKoplak/TEI	OtxaldeKoplak
Q2099	Uztaro	Tomas Agirre	Q2098	https://monumenta.wikibase.cloud/wiki/Testua:BarrensoroUztaro/TEI	BarrensoroUztaro
Q2113	Debozino eskuarra	Joannes Haranburu	Q2112	https://monumenta.wikibase.cloud/wiki/Testua:HaranburuDebozino/TEI	HaranburuDebozino
Q2121	Ipui onak	Bizenta Mogel	Q2120	https://monumenta.wikibase.cloud/wiki/Testua:MogelBIpuionak/TEI	MogelBIpuionak
Q2131	Euskal lanak	Arturo Kanpion	Q2130	https://monumenta.wikibase.cloud/wiki/Testua:Kanpion/TEI	Kanpion
Q2179	Koplak	Jean-Baptiste Larralde	Q2178	https://monumenta.wikibase.cloud/wiki/Testua:LarraldeJBKoplak/TEI	LarraldeJBKoplak
Q2169	Jesu-Kristoren imitazionea	Michel Churio	Q2168	https://monumenta.wikibase.cloud/wiki/Testua:XurioImitazionea/TEI	XurioImitazionea
Q2135	Noelak	Joanes Etxeberri (Ziburukoa)	Q2134	https://monumenta.wikibase.cloud/wiki/Testua:EtxebZibuNoelak/TEI	EtxebZibuNoelak
Q2125	Eguren Jaunaren Metodoa	Klaudio Otaegi	Q2124	https://monumenta.wikibase.cloud/wiki/Testua:OtaegiKEguren/TEI	OtaegiKEguren
Q2175	Beste zenbat itzulpen	Klaudio Otaegi	Q2174	https://monumenta.wikibase.cloud/wiki/Testua:OtaegiKItzulpenak/TEI	OtaegiKItzulpenak
Q2093	Aurrendako dostatzia	Federiko Garralda	Q2092	https://monumenta.wikibase.cloud/wiki/Testua:GarraldaDostatzia/TEI	GarraldaDostatzia
