authorname,name_recon,wikidata
Manuel Lekuona,Manuel Lekuona,Q631017
Juan Antonio Mogel,Juan Antonio Mogel,Q3321878
Txirrita,Jose Manuel Lujanbio,Q1582964
"Pillipa Zugatzaga - ""J.L. Zutagape""",Pillipa Zugatzaga,Q12265983
Juan Tartas,Joan Tartas,Q4890209
Arnaud Oihenart,Arnaud Oihenart,Q2863280
Frai Bartolome,Frai Bartolome,
"Franzisko Xabier Munibe - ""Peñafloridako Kondea""","Franzisko Xabier Munibe - ""PeÃ±afloridako Kondea""",
"Estepan Urkiaga - ""Lauaxeta""",Estepan Urkiaga,Q4891594
Eusebio Maria Azkue,Eusebio Maria Azkue,Q12257439
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Bernard Larregi,Bernard Larregi,Q12255114
Juan Ignazio Iztueta,Juan Inazio Iztueta,Q9015632
Sabino Arana Goiri,Sabino Arana Goiri,Q332663
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Emeterio Arrese,Emeterio Arrese,Q11919124
Xabier Lizardi,Jose Mari Agirre,Q3757000
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Juan Antonio Mogel,Juan Antonio Mogel,Q3321878
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Juan Bautista Agirre,Juan Bautista Agirre,Q11929259
Jose Antonio Uriarte,Jose Antonio Uriarte,Q12260591
Juan Bautista Agirre,Juan Bautista Agirre,Q11929259
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
"Estepan Urkiaga - ""Lauaxeta""",Estepan Urkiaga,Q4891594
Joseba Zubimendi,Joseba Zubimendi,Q12260769
Mixel Elizanburu,Mixel Elizanburu,Q12263722
Anonimoa,Anonimoa,
Jean Baptiste Constantin,Jean Baptiste Constantin,Q16517789
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Anonimoa,Anonimoa,
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Anonimoa,Anonimoa,
Emanuel Intxauspe,Emanuel Intxauspe,
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
Xabier Lizardi,Jose Mari Agirre,Q3757000
Juan Tartas,Joan Tartas,Q4890209
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Pedro Antonio Añibarro,Pedro Antonio Añibarro,Q4890107
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Xabier Lizardi,Jose Mari Agirre,Q3757000
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Jean Baptiste Althabe,Jean-Baptiste Althabe,Q51456894
Aranbillaga,Aranbillaga,Q132857544
Arnauld François Maitie,Arnauld FranÃ§ois Maitie,
Xabier Lizardi,Jose Mari Agirre,Q3757000
Kristobal Harizmendi,Kristobal Harizmendi,Q12261649
Antonio Arruti,Antonio Arruti,Q12253643
Joanes Leizarraga,Joanes Leizarraga,Q2746075
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Emanuel Intxauspe,Emanuel Intxauspe,
Anonimoa,Anonimoa,
Polikarpo Iraizozkoa,Agustin Zarrantz,Q2827345
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Gratien Adema - ""Zaldubi""",Gratien Adema,Q12258728
Arnaud Abbadie,Arnaut Abadia,Q12254040
