LAR_LEMMA	EGOKITUA	DA_MATCH
A	a	a
Aba	aba	aba
Ababol hierba	ababol hierba	ababol
Abaceria	abaceria	abaceria
Abacero	abacero	abacero
Abad	abad	abad
Abadeſa	abadesa	abadesa
Abadìa	abadia	abadia
Abada	abada	abada
Abadejo	abadejo	abadejo
Abades	abades	abades
Abahar	abahar	abahar
Abalado	abalado	abalado
Aballar	aballar	aballar
Aballar por abajar	aballar por abajar	aballar
Abalanzarſe	abalanzarse	abalanzarse
Abalorio	abalorio	abalorio
Abanderado	abanderado	abanderado
Abandonar	abandonar	abandonar
Abandonado	abandonado	abandonado
Abanico	abanico	abanico
Abanillo	abanillo	abanillo
Abanino	abanino	abanino
Abaratar	abaratar	abaratar
Abaratado demaſiadamente	abaratado demasiadamente	abaratado
Abarcar	abarcar	abarcar
Abarracarſe	abarracarse	abarracarse
Abarrado	abarrado	abarrado
Abarraganarſe	abarraganarse	abarraganarse
Abarrancarſe el ganado	abarrancarse el ganado	abarrancarse
Abarriſco	abarrisco	abarrisco
Abaſtadamente	abastadamente	abastadamente
Abaſtanza	abastanza	abastanza
Abaſto	abasto	abasto
Abaſtar	abastar	abastar
Abaſtado de riquezas	abastado de riquezas	abastado
Abaſtecer	abastecer	abastecer
Abatanar	abatanar	abatanar
Abatanado	abatanado	abatanado
Abate	abate	abate
Abatear	abatear	abatear
Abatir	abatir	abatir
Abatir à vno	abatir a vno	abatir
Abatido	abatido	abatido
Abatirſe al ſuelo	abatirse al suelo	abatirse
Abatimiento	abatimiento	abatimiento
Abaxar	abaxar	abaxar
Abaxo	abaxo	abaxo
Abdicar	abdicar	abdicar
Abece	abece	abece
Abeja	abeja	abeja
Abejera	abejera	abejera
Abejero	abejero	abejero
Abejeruco	abejeruco	abejeruco
Abejon	abejon	abejon
Abejorro	abejorro	abejorro
Abella	abella	abella
Abemolar	abemolar	abemolar
Abemolado	abemolado	abemolado
Abenuz	abenuz	abenuz
Aberengenado	aberengenado	aberengenado
Abernardarſe	abernardarse	abernardarse
Abertero	abertero	abertero
Abertura	abertura	abertura
Abernuncio	abernuncio	abernuncio
Abeſana mayor	abesana mayor	abesana
Abeto	abeto	abeto
