LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
bat batetan	bat batetan	bat batetan					
beingoan	beingoan	beingoan					
il dute Juan	il dute Juan	il dute Juan					
bialdu det Martin	bialdu det Martin	bialdu det Martin					
zerka	cerca	cerca					
junto	junto	junto					
en	en	en					
an	an	an					
ateeetan dago	ateeetan dago	ateéetan dago					
atarian dgo	atarian dgo	atárian dgo					
surtn para ezazu	surtn para ezazu	ſurtn para ezazu					
sarreran jarri zan	sarreran jarri zan	ſárreran jarri zan					
ra	ra	ra					
era	era	era	era	era	era	era	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=era
etxera noa	echera noa	echerá noa					
errira noa	errira noa	errirá noa					
jatera	jatera	játera					
edatera	edatera	edátera					
ibiltera noa	ibiltera noa	ibiltera noa					
ka	ca	ca			ka	ka	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ka
arrika	arrica	arrica					
agaaka	agaaca	agaáca					
zaldika	zaldica	zaldica					
oinka	oinca	oinca					
zaldiz	zaldiz	zaldiz					
oinez	oñez	oñez					
Cana biko	Cana bico	Caná bicó					
neurria	neurria	néurria	neurri		neurri	neurri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=neurri
janaritegia	janariteguia	janariteguia	janaritegi	janaritegi		janaritegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=janaritegi
jakitegia	jaquiteguia	jaquiteguia				jakitegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jakitegi
arrandegia	arrandeguia	arrandeguia	arrandegi	arrandegi	arrandegi	arrandegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arrandegi
arategia	arateguia	arateguia					
janaritegiaren zaia	janariteguiaren zaya	janariteguiaren zaya					
zaina	zaina	zaina	zain		zain	zain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zain
zaitzailea	zaitzallea	zaitzallea					
arakina	araquiña	araquiñá					
aratepailea	aratepallea	aratepallea					
arraikina arraiepailea	arraiquiña arraiepallea	arraiquiña arraiepallea					
aita	aita	aita	aita		aita	aita	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aita
aundiena	aundiena	aundiena					
abadea	abadea	abadea	abade		abade	abade	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abade
nolako jabea	nolaco jabea	nolacó jabeá					
alako tresnea	alaco tresnea	alacó treſneá					
nondik lan	nondic lan	nondic lan					
andik jan	andic jan	andic jan					
nola da hiztuna	nola da hiztuna	nola da hiztuna					
ala da entzuna	ala da enzuna	ala da enzuna					
esale	esale	eſale	esale		esale	esale	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=esale
entzule	enzule	enzule	entzule		entzule	entzule	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=entzule
andre monjen agintaria	andre monjen aguintaria	andre monjen aguintaria					
lenena	lenena	lenena					
Abadesa	Abadesa	Abadeſa					
Abadesea	Abadesea	Abadeſeá					
Abadia	Abadia	Abadiá					
abadearen barrutia	abadearen barrutia	abadearen barrutia					
abere adar bakotxa	abere adar bacocha	aberé adár bacocha					
bakailaoa	bacallaoa	bacallaoá	bakailao		bakailao	bakailao	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bakailao
petxa	pecha	pecha	petxa		petxa	petxa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=petxa
aboa	aboa	aboá				abo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abo
aua	aua	auá	au			au	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=au
aoa	aoa	aoá				ao	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ao
asnase ematea	asnase ematea	aſnaſé ematea					
hatseman	hatseman	hatſeman					
atsedatu	atsedatu	atſedatu					
zopa itoak	zopa itoac	zopá itoac				zopa ito	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zopa ito
eltzea	eltzea	eltzea	eltze		eltze	eltze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eltze
edo katilua estali	edo catillua estali	edó catilluá eſtali					
taegiten diranak	taeguiten diranac	taeguiten diranac					
beraa	beraa	beraá	bera		bera	bera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bera
biguina	biguña	biguña	biguin	biguin		biguin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=biguin
arroa	arroa	arroa	arroa		arroa	arroa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arroa
astindua	astindua	aſtindua	astindu		astindu	astindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=astindu
purga	purga	purga	purga		purga	purga	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=purga
artaldea larrera	artaldea larrera	artaldea larrerá					
bazkatzera	bazcatzera	bazcátzera					
jatera eraman	jatera eraman	játera eráman					
eroan	eroan	eróan	eroan				
eratxi	erachi	erachi	eratxi	eratxi			
jatxierazo	jachierazo	jachierazo					
erautsi	erautsi	erautſi	erautsi		erautsi	erautsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erautsi
egotzi	egotzi	egotzi	egotzi				
sartu	sartu	ſartu	sartu		sartu	sartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartu
egotzi zan etsaien artera	egotzi zan etsaien artera	egotzi zan etſaien artera					
bereala perilean sartzen da	bereala perillean sartzen da	bereala perillean ſartzen da					
beira nauarrezko aleak	beira nauarrezco aleac	beirá nauarrezcó aléac					
eztu balio pelat bat	eztu valio pelat bat	eztu valio pelat bat					
banderaduna	banderaduna	banderaduná	banderadun		banderadun	banderadun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=banderadun
banderatua	banderatua	banderatua					
gaizki	gaizqui	gaizqui	gaizki		gaizki	gaizki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaizki
ta etsairo baileratzea	ta etsairo balleratzea	ta etſairó ballerátzea					
etsairo baileratuak	etsairo balleratuac	etſairó balleratuac					
utzi	vtzi	vtzi	utzi		utzi	utzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=utzi
lajatu	lajatu	lajatu					
largatu	largatu	largatu			largatu	largatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=largatu
utzia	vtzia	vtzia	utzi		utzi	utzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=utzi
ondo utzia naukate	ondo vtzia naucate	ondo vtziá náucate					
utziegia	vtzieguia	vtzieguia					
utziera	utziera	utziera					
lajaera	lajaera	lajaera					
lagaera	lagaera	lagaera					
utziera guzizkoan	utziera gucizcoan	utziera gucizcoán					
aizatu	aizatu	aizatu					
aizatzea	aizatzea	aizatzea					
aitzekina	aitzequiña	aitzequiña					
aizegilea	aizeguillea	aizeguillea					
aizeemailea	aizeemallea	aizeemallea					
abaninoa	abaninoa	abaninoa					
aizekin aundia	aizequin aundia	aizequin aundia					
merketu	merquetu	merquetú			merketu	merketu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=merketu
merke ifini	merque ifini	merqué ifini					
merketuegia	merquetueguia	merquetueguia					
merqiegi ifinia	merqiegui ifinia	merqiegui ifinia					
au barka	au barca	au barca					
barka	barca	barca	barka				
abarkak	abarcac	abarcac	abarka		abarka	abarka	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abarka
abarka	abarca	abarcá	abarka		abarka	abarka	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abarka
kien mutxo abarka	quien mucho abarca	quien mucho abarca					
poko aprieta	poco aprieta	poco aprieta					
abarkatu	abarcatu	abarcatu					
gauz asko egitea	gauz asco eguitea	gauz aſcó eguitea					
artzea	artzea	artzea	artze	artze			
asko abarkatzea	asco abarcatzea	aſco abarcatzea					
da gitxi estutzea	da guichi estutzea	da guichi eſtutzea					
sko egin nai	sco eguin nai	ſco eguin nai					
gitxi egin bai	guichi eguin bay	guichi eguin bay					
etxoletan	echoletan	echoletan					
txaoletan sartu	chaoletan sartu	chaoletan ſartu					
amantzebartse	amancebarse	amancebarſe					
barragan	barragan	barragan					
abereak lur epaki zulodunetan sartzea	abereac lur epaqui zulodunetan sartzea	abéreac lur epaqui zulodúnetan ſártzea					
epaizulotu	epaizulotu	epaizulotú					
zenternatu	centernatu	centernatú					
barranko	barranco	barranco					
barrizjo	barrizjo	barrizjo					
u berrizjo	u berrizjo	u berrizjo					
barrizko	barrizco	barrizco					
berrizko	berrizco	berrizco	berrizko				
barritsu	barritsu	barritſu					
berritsu	berritsu	berritſu	berritsu		berritsu	berritsu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berritsu
guzia era batera	gucia era batera	guciá era baterá					
naroro	naroro	naroro	naroro	naroro			
ugari	ugari	ugari	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
mukuru	mucuru	mucuru	mukuru		mukuru	mukuru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mukuru
muru	muru	murú					
naroa	naroa	naroa	naro	naro		naro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=naro
ugaria	ugaria	ugaria	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
ioria	ioria	ioria					
mukurua	mucurua	mucurua	mukuru		mukuru	mukuru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mukuru
murua	murua	murua				muru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=muru
otorantza	otoranza	otoranzá					
beardanez ornitzea	beardanez ornitzea	beardanez ornitzea					
jalariaren ornidura	jalariaren ornidura	jalariaren ornidurá					
ornitu	ornitu	ornitu					
bear	bear	bear					
guziaz zuzkitu	guciaz zuzquitu	guciaz zuzquitu					
bete	bete	beté	bete		bete	bete	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bete
ondasiunez ornitua	ondasiunez ornitua	ondaſiúnez ornituá					
zuzkitua	zuzquitua	zuzquituá	zuzkitu	zuzkitu		zuzkitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zuzkitu
betea	betea	beteá	bete		bete	bete	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bete
ornituegia	ornitueguia	ornitueguia					
janariz ornitu	janariz ornitu	janariz ornitú					
ondo ornitua dago	ondo ornitua dago	ondo ornitua dago					
Batan	Batan	Batan					
Boilatu	Bollatu	Bollatú					
oialak tunpaka garbitu	oyalac tumpaca garbitu	oyalac túmpaca garbitu					
ta trinkatu	ta trincatu	ta trincatu					
boilatua	bollatua	bollatuá					
trinkatua	trincatua	trincatuá	trinkatu	trinkatu	trinkatu	trinkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=trinkatu
boilatuegia	bollatueguia	bollatueguia					
boilatzailea	bollatzallea	bollatzallea					
boilazaina	bollazaina	bollazaina					
trinkatzailea	trincatzallea	trincatzallea					
apaiz soineko laburduna	apaiz soñeco laburduna	apaiz ſoñeco laburduna					
begirok arrapatuko au	beguiroc arrapatuco au	beguiroc arrapatuco au					
norbait azpiratzea	norbait azpiratzea	norbait azpirátzea					
lurreratzea	lurreratzea	lurrerátzea			lurreratze	lurreratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratze
bzeratzea	bceratzea	bceratzea					
azpiratua	azpiratua	azpiratua			azpiratu	azpiratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azpiratu
lurreratua	lurreratua	lurreratua			lurreratu	lurreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratu
beeratua	beeratua	beeratua					
txit beeratua daukate	chit beeratua daucate	chit beeratua dáucate					
azpiratuegia	azpiratueguia	azpiratueguia					
&k	&c	&c					
azpiratzailea lurreratzailea	azpiratzallea lurreratzallea	azpiratzallea lurreratzallea					
beeratzailea	beeratzallea	beeratzallea					
lurreratu	lurreratu	lurreratú			lurreratu	lurreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lurreratu
beeatu	beeatu	beeatú					
lurreratzen naiz	lurreratzen naiz	lurreratzen naiz					
zera	cera	cera	zera		zer	zer	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zer
da	da	da					
lurreratzen gera	lurreratzen guera	lurreratzen guera					
zerate	cerate	cerate					
dira &k	dira &c	dira &c					
ez naiz ni beeratzen txarkeria orietara	ez naiz ni beeratzen charqueria orietara	ez naiz ni beeratzen charqueria orietara					
humilartse	humillarse	humillarſe					
beeratzapena	beeratzapena	beeratzapena					
beeratzea	beeratzea	beeratzea					
beeratzapen aundienean	beeratzapen aundienean	beeratzapen aundienean					
zpiratze andienean	zpiratze andienean	zpiratze andienean					
beeratu	beeratu	beeratu					
beetitu	beetitu	beetitu					
jatxi	jachi	jachi					
naiz	naiz	naiz					
