a	a	a
ababol	ababol	ababol
abaceria	abaceria	abaceria	janariteguia, jaquiteguia
abaceria	abaceria2	abaceria	arrandeguia
abacero	abacero	abacero	anariteguiaren zaya, zaina, zaitzallea
abacero	abacero2	abacero	araquiñá, aratepallea
abadesa	abadesa	abadesa	andre monjen aguintaria, lenena, Asbadesa, Adbadeseá
abadia	abadia	abadìa	badiá
abadia	abadia2	abadìa	abadearen barruatia
abada	abada	abada	aberé adár bacocha
abadejo	abadejo	abadejo	bacallaoá
abadejo	abadejo2	abadejo	pecha
abadejo	abadejo3	abadejo
abades	abades	abades
abahar	abahar	abahar
abahar	abahar2	abahar	asnasé ematea, hatseman, atsedatu
abahadas sopas	abahadas sopas	abahadas sopas	zopá itoac, eltzea, edó catilluá estali, taeguiten diranac
abajar	abajar	abajar
abalado	abalado	abalado	beraá, biguña, arroa, astindua
ablgar	ablgar	ablgar
aballar	aballar	aballar	artaldea larrerá , bazcátzera, játera eráman, eróan
aballar por	aballar por	aballar por	erachi, jachierazo, erautsi
abalanzarse	abalanzarse	abalanzarse	egotzi, sartu
abalorio	abalorio	abalorio	beirá nauarrezcó aléac
abanderado	abanderado	abanderado	banderaduná, banderatua
abanderizarse	abanderizarse	abanderizarse	gaizqui, ta etsairó ballerátzea
abanderizados	abanderizados	abanderizados	etsairó balleratuac
abandonar	abandonar	abandonar	vtzi, lajatu, largatu
abandonado	abandonado	abandonado	vtzia
abandonado	abandonado2	abandonado	vtzieguia
abandono	abandono	abandono	utziera, lajaera, lagaera
abanicarse	abanicarse	abanicarse	aizatu, aizatzea
abanico	abanico	abanico	aitzequiña, aizeguillea, aizeemallea
abanillo	abanillo	abanillo
abanino	abanino	abanino	abaninoa
abaratar	abaratar	abaratar	merquetú, merqué ifini
abaratado demasiadamente	abaratado demasiadamente	abaratado demasiadamente	merquetueguia, merqiegui ifinia
aburca	aburca	aburca
abarcas	abarcas	abarcas	abarcac
abarcar	abarcar	abarcar
abarcar	abarcar2	abarcar	abarcatu, gauz ascó eguitea, artzea
abarracarse	abarracarse	abarracarse	echoletan, chaoletan sartu
abarrado	abarrado	abarrado
abarraganarse	abarraganarse	abarraganarse
abarrancarse el ganado	abarrancarse el ganado	abarrancarse el ganado	abéreac lur epaqui zulodúnetan sártzea, epaizulotú, centernatú
abarrisco	abarrisco	abarrisco
abar-	abar-	abar-
abarrisco	abarrisco	abarrisco	guciá era baterá
abastadamente	abastadamente	abastadamente	naroro, ugari, mucuru, murú
abastanza	abastanza	abastanza	naroa, ugaria, ioria, mucurua, murua
abasto	abasto	abasto	otoranzá, beardanez ornitzea, jalariaren ornidurá
abastar	abastar	abastar	ornitu, zuzquitu, beté
abastado de riquezas	abastado de riquezas	abastado de riquezas	ondasiúnez ornituá, zuzquituá, beteá
abastecer	abastecer	abastecer	janariz ornitú
abatanar	abatanar	abatanar
abatanar	abatanar2	abatanar	Bollatú, oyalac túmpaca garbitu, ta trincatu
abatanado	abatanado	abatanado	bollatuá, trincatuá
abatanador	abatanador	abatanador	bollatzallea, bollazaina, trincatzallea
abate	abate	abate	apaiz soñeco laburduna
abate	abate2	abate	beguiroc arrapatuco au
abatear	abatear	abatear
abatir	abatir	abatir
abatir	abatir2	abatir	norbait azpirátzea, lurrerátzea, bceratzea
abatido	abatido	abatido	azpiratua, lurreratua, beeratua
abatidor	abatidor	abatidor	azpiratzallea lurreratzallea, beeratzallea
abatirse al suelo	abatirse al suelo	abatirse al suelo	lurreratú, beeatú
abatire	abatire	abatire	humillarse
abatimiento	abatimiento	abatimiento	beeratzapena, beeratzea
abaxar	abaxar	abaxar	beeratu, beetitu, jachi, erachi
abaxarse	abaxarse	abaxarse	beeratu
abaxo	abaxo	abaxo	bean, beera, beeti
abdicar	abdicar	abdicar
abece	abece	abece	beceá
abechucho	abechucho	abechucho
abeja	abeja	abeja	erlea
abejaruco	abejaruco	abejaruco
abejera	abejera	abejera
abejita	abejita	abejita	erlechoa
abejero	abejero	abejero	erlezaia, erlezaina
abejeruco	abejeruco	abejeruco	chori erlejale bat, erleen galgarria
abejon	abejon	abejon	listorrá, erlabioa
abejorro	abejorro	abejorro	listorra
abella	abella	abella
abemolar	abemolar	abemolar	otsa edo soñua gozatzea , gozoró ta emequi , ta leuncho austea
abemolado	abemolado	abemolado	gozatua, gozoró autsia
abeñuelas	abeñuelas	abeñuelas	betuleac
abenuz	abenuz	abenuz
aberengenado	aberengenado	aberengenado
aberia	aberia	aberia
abernardarse	abernardarse	abernardarse
abertero	abertero	abertero
abertura	abertura	abertura
abernuncio	abernuncio	abernuncio	beguiroc
andalucia	andalucia	andalucia	uztarria
abesana	abesana	abesana	lorrá
abestruz	abestruz	abestruz	sayea
abeto	abeto	abeto	abetoa
abetunar	abetunar	abetunar
abezarse	abezarse	abezarse	,bezatú, oitu, aci, acitú
abezado	abezado	abezado	oitua, acitua
abiar	abiar	abiar	norbait norabait ornituric bialdu egorri
abiado	abiado	abiado	bideraco ornitua
abierta	abierta	abierta
abigarrado	abigarrado	abigarrado	navarrá
abigeo	abigeo	abigèo	talde baten, edo erdibaten lapurrá
abigotado	abigotado	abigotado	bigoteduna
abilidad	abilidad	abilidad	abilidadea, gaytasuna, cintzotasuna
abilitaravno	abilitaravno	abilitaràvno	cintzotu, gay eguin
abilitado	abilitado	abilitado	cintzotua, gaey eguiña
abilmente	abilmente	abilmente	gayró, cinzor, cintzoqui
abiltar	abiltar	abiltar
abintestato	abintestato	abintestato	testamentu bague, testamenturic eguingabe
abjurar	abjurar	abjurar
abjuracion	abjuracion	abjuracion	ezeztatzea, desesaná, deserraná
abion	abion	abion	sorbeltza
abismo	abismo	abismo	leicea, leiza, ondaleceá
abismar	abismar	abismar	leizatu, leicean ondatu
abismarse	abismarse	abismarse	leizatu naiz , cera , da , &c
abismado	abismado	abismado	leizatua, leicean ondatua
abispon	abispon	abispon	belzuntza, habea, eulitzarrá
abitaque	abitaque	abitaque
abito	abito	abito
abituar	abituar	abituar
abivar	abivar	abivar
abizcochado	abizcochado	abizcochado	bizcochatua
ablandar	ablandar	ablandar	beraatú, biguindú, samurtú, ematú
ablandarse	ablandarse	ablandarse	beraatu
ablativo	ablativo	ablativo	ablativoa
ablentar	ablentar	ablentar	aventador
abnegacion	abnegacion	abnegacion	ucoa, bere burua ucatzea
abnegarse	abnegarse	abnegarse	bere burua ucatú
abobar	abobar	abobar
abocar	abocar	abocar	ozcatu, orzaz artu
abocar la causa	abocar la causa	abocar la causa
abocar la artilleria	abocar la artilleria	abocar la artilleria	sutumpazucendu, aurqueratu
abocarse	abocarse	abocarse	aurquetu, aurcatu
abocardado	abocardado	abocardado	aozbildua
abochornar	abochornar	abochornar	lamberotu, sargoritu
abochornase	abochornase	abochornase	lamberotu, sargoritu
abochornado	abochornado	abochornado	sargoritua, lamberotua, sucartua
abofetear	abofetear	abofetear	masallean, belarondoan, bearriz aldean jo, bufetatu, bofetada
abofeteado	abofeteado	abofeteado	masalleanñ, &c, joa, bufetatua
abogacia	abogacia	abogacìa	Letradunacdarabilten beargaya
abogada	abogada	abogada	artecoa, bitartecoa, arartecoa
abogado	abogado	abogado	letraduna, auzijarraya
abogador	abogador	abogador
abogador	abogador2	abogador
abogar	abogar	abogar	norbaitegatic escatú, norbaitequico artecoizan , eguin, nai, cera
abogar en pleytos	abogar en pleytos	abogar en pleytos	aucietan iñoren favore hitzeguitea
abolengo	abolengo	abolengo	aitonen etorquia
aboler	aboler	aboler
abollar	abollar	abollar
abollar	abollar2	abollar	abollatu, zacondu, zotondu, mallatu, maliatu, coscatu
abollado	abollado	abollado	abollatua, maliatua, mallatua, zacondua, zocondua, coscatua
abollador	abollador	abollador	abollatzallea, zacontzallea, zocontzallea, coscatzallea, maliatzallea, zacona ria
abolladura	abolladura	abolladura	abollantza, zacona, zocona, cosca, abollatzea, zacontzea, zocontzea, coscatzea, maliatzea, mallatzea
aboslonar	aboslonar	aboslonar
abolsado	abolsado	abolsado	bolsatua, bolsaquin dagoana
abominable	abominable	abominable	na-
abominablemente	abominablemente	abominablemente	nazcagarriro, nagagarriro, nagatsuró
abominacion	abominacion	abominacion	nazca, naga
abominar	abominar	abominar	naz-
abonanza	abonanza	abonanza
abonanzar el tiempo	abonanzar el tiempo	abonanzar el tiempo	eguraldia ondu, ondotu, onguitu, malsotu
abonar el tiempo	abonar el tiempo	abonar el tiempo
abonar	abonar	abonar	ontzatú, ontzát emán
abonar demasiado	abonar demasiado	abonar demasiado	oneguitu, oneguitzat eman
abonado	abonado	abonado	ontzatua, ontzat emaná, artuá
abono	abono	abono	ontzátea
abonado en hazienda	abonado en hazienda	abonado en hazienda	aberatsá, dirutia, onic asco duena
abondamiento	abondamiento	abondamiento	abundamiento, abundar
abondo	abondo	abondo	iorí, ugari, naroró
abonar	abonar	abonar	afianzar
abono de tierras	abono de tierras	abono de tierras	ngarria
abono	abono	abono	Cimaurrá, iñaurqui-
abonar	abonar	abonar	cimaurtú, iñaurquindu, basaratú
abonado	abonado	abonado	cimaurtua, gorotzatua, iñaurquindua, basaratua
abonador	abonador	abonador	cimaurlea, cimaurtzallea
abordar	abordar	abordar
abordar una nave	abordar una nave	abordar una nave	ertzaz ertzari dichecala jartea, ertzatu
abordado	abordado	abordado	ertzatua, ertzaz ertzari alderatua, alboratua
abordo	abordo	abordo	ertzatzea, ertzaera
abordonar	abordonar	abordonar
aborrecer	aborrecer	aborrecer	gorrotatu, gaitzetsi, higuindu, gorrotoa, gaitserizcoa, gaitziriztea izan, iduqui
aborrecido	aborrecido	aborrecido	gorrotatua, gaitzesia, gaitzesitua
aborrecible	aborrecible	aborrecible	gorrotagarria, gaitzetsigarria
aborrecible	aborrecible2	aborrecible	erabea
aborrecimiento	aborrecimiento	aborrecimiento	gorrotoa, gaitzerizcoa, gaitzerestea, gaiztesiera, igoria
aborrir	aborrir	aborrir
aborrir	aborrir2	aborrir
abortar	abortar	abortar
abortar	abortar2	abortar	bertiztu
abortivo	abortivo	abortivo	bertitzá, mugaitzean jaioa, sortua, hume botatua
aborto	aborto	aborto	bertitzá, erditze gaitza, hume botatzea
aborton	aborton	aborton
abortones	abortones	abortones
abotagarse	abotagarse	abotagarse	uanditu, buyasu
abotagado	abotagado	abotagado	uanditua, buyatua
abotinado	abotinado	abotinado	botiñatua
abotonar	abotonar	abotonar	botuitu, botoitzea
abotonado	abotonado	abotonado	botoitua
abotonadura	abotonadura	abotonadura
abotonar	abotonar	abotonar	motetú, ninicatzea
abotonado en	abotonado en	abotonado en	motetua, motez jancia
abovedar	abovedar	abovedar	uztaitu, uztayaren
abovedado	abovedado	abovedado	uztaitua, uztayatua, uztayaren guisa eguiña, ezarria
abracijo	abracijo	abracijo
abrasar	abrasar	abrasar	erre
abrasado	abrasado	abrasado	errea
abrasador	abrasador	abrasador	erretzallea
abrasarse	abrasarse	abrasarse	erre, erretzen
abrasamiento	abrasamiento	abrasamiento	erredura, errapena
abrazar	abrazar	abrazar	laztandu, laztaneguin, eman, besarcatu, arraiztu
abrazado	abrazado	abrazado	laztandua, besarcatua, arraiztua
abrazador	abrazador	abrazador	laztanaria, laztanguillea, laztan emallea, besarcaria, besarcatzallea, ar aitzaria, arraitzallea
abrazo	abrazo	abrazo	laztana, besarcatzea, besarquera, arraicia
abrazaderas	abrazaderas	abrazaderas	arpoyac
abrego viento	abrego viento	abrego viento	egoa, egoia
abrevar	abrevar	abrevar
abrevar	abrevar2	abrevar	ederatu, edaran, abereac edanerazo, edanaraci, abereac edateratu
abrevado	abrevado	abrevado	ederatua, edarana, edanerazoa, edaneracia, edateratua
abrevadero	abrevadero	abrevadero	abereen edatoquia, ederatoquia
abreviacion	abreviacion	abreviacion
abreviar	abreviar	abreviar	laburtu, chaburtu
abreviado	abreviado	abreviado	laburtua, chaburtua
abreviador	abreviador	abreviador	laburtzallea, laburtaria, chaburtzallea, chaburtaria
abreviatura	abreviatura	abreviatura	laburrera, chaburrer
abrevia	abrevia	abrevia	lasterreguizu, ea agudo, ea laster, biciró
abribonarse	abribonarse	abribonarse	alperquerian sartzea, alper eguitea, alperquerian vicitzea
abribonado	abribonado	abribonado	alperquerian sartua, icia, alper eguiña
abridero	abridero	abridero
abridor	abridor	abridor	irequitzallea
abridor en lamina	abridor en lamina	abridor en lamina	otallaria
abrigaño	abrigaño	abrigaño	nozgueitza
abrigarse	abrigarse	abrigarse	nozgue-, abrigatu, arropaz, edo bestela berotu, naiz, cera, da, otzetic gordetzea, otza eragoztea, quentzea
abrigar activo	abrigar activo	abrigar activo	berotu, nozguetu
abrigarse	abrigarse	abrigarse
abrigarse asi	abrigarse asi	abrigarse assi	lecu segurura biribil latzea, lecu seguruan gordetzea, ezcutatzea, sartzea
abrigado lugar	abrigado lugar	abrigado lugar	lecu beroa, otzetie gordea, segurua, nozguea, abrigua
