a.odá,a.oda
aacalá,aakala
aacalcorra,aakalkorra
aacaldua,aakaldua
aadala,aadala
aaigarria,aaigarria
aaillaz otta,aailaz otta
aaitezgarriro,aaitezgarriro
aantal,aantal
aar,aar
aata,aata
aatea,aatea
abadearen barruatia,abadearen barruatia
abadecharra,abadekharra
abadejo,abadejo
abaillaria,abailaria
abalcizqueta,abaltzizketa
abalia,abalia
aballada,abailada
aballaria,abailaria
abanico,abaniko
abaninoa,abaninoa
abarca ezpartuzcoa,abarka ezpartuzkoa
abarcatu,abarkatu
abarizqueta,abarizketa
abarrazcoa,abarrazkoa
abarreztu,abarreztu
abarroscatu,abarroskatu
abarrosguillea,abarrosgilea
abazuza,abazuza
abazuza eguin,abazuza egin
abazuza erortea,abazuza erortea
abazuzac joa,abazuzak joa
abazuzari,abazuzari
abazuzari eraunstea,abazuzari erauntstea
abdazpitu,abdazpitu
abea,abea
abeac,abeak
abecaria,abekaria
abecariz,abekariz
abegortu,abegortu
abejon,abejon
aberatsquiro,aberatskiro
abere adar bacocha,abere adar bakokha
aberé adár bacocha,abere adar bakokha
abere bat tiroquertzea,abere bat tirokertzea
abere dia,abere dia
abereac edanerazo,abereak edanerazo
abereac edateratu,abereak edateratu
abereac larritu,abereak larritu
abereac malsotu,abereak maltsotu
abereac tresnabaguetu,abereak tresnabagetu
abereai jarrai,abereai jarrai
aberearena,aberearena
aberechoa,aberekhoa
abereen edatoquia,abereen edatokia
abereguisacoa,aberegisakoa
aberequiro,aberekiro
aberequiró,aberekiro
aberero,aberero
aberetresna,aberetresna
aberetresnac quendu,aberetresnak kendu
abetoa,abetoa
abia eguin,abia egin
abicaiztu,abikaiztu
ablandar,ablandar
aboaldea,aboaldea
aboaldia,aboaldia
abodiac,abodiak
abodiatu,abodiatu
abodiatua,abodiatua
aboeztea,aboeztea
abollantza,aboilantza
abollar,aboilar
abollatu,aboilatu
abollatua,aboilatua
abollatzallea,aboilatzailea
abollatzea,aboilatzea
abominacion,abominazion
abominar,abominar
aboztua,aboztua
aboztuquia,aboztukia
abrasma,abrasma
abrearra,abrearra
abrestasuna,abrestasuna
abreundea,abreundea
abrigatu,abrigatu
abrildaria,abrildaria
abrildea,abrildea
abrolla,abroila
absolicioa,absolizioa
absolitzea,absolitzea
absoloigarriac,absoloigarriak
abstinennencia,abstinennentzia
abuina,abuina
abundamiento,abundamiento
abundancia,abundantzia
abundante,abundante
abundar,abundar
aburicatu,aburikatu
aburicoa,aburikoa
aca atu,aka atu
acaa,akaa
acaar,akaar
acabable,akabable
acabar,akabar
acanalado,akanalado
acars,akarts
acatseguin,akatsegin
acbapartu,akbapartu
acbaquia,akbakia
accullatu,akkuilatu
acechanza,azekhantza
acechar,azekhar
aceitnna,azeitnna
acendatu,azendatu
acendatua,azendatua
acendrar,azendrar
acenduatu,azenduatu
aceni,azeni
acenia,azenia
acerdotea,azerdotea
acerolá,azerola
acertadu,azertadu
acertadú,azertadu
acertaera,azertaera
achá,akha
achacar,akhakar
achaga,akhaga
achagac,akhagak
achapartu,akhapartu
achaquia,akhakia
achaquiduna,akhakiduna
acheden,akheden
achedenlecua,akhedenlekua
acherea,akherea
achia,akhia
achiotea,akhiotea
achola,akhola
acholac erabilli,akholak erabili
acholaritu,akholaritu
acholdia,akholdia
achordea,akhordea
achorro,akhorro
achorroa,akhorroa
achorroaga,akhorroaga
achorrotua,akhorrotua
achorrouillea,akhorrouilea
achrioa,akhrioa
achudarea,akhudarea
achurcada,akhurkada
achuri taldea,akhuri taldea
achuri zaya,akhuri zaia
achuria,akhuria
achurichoa,akhurikhoa
achurlaria,akhurlaria
achurlea,akhurlea
achurquintza,akhurkintza
achurquinzea,akhurkintzea
achurra,akhurra
achurrada,akhurrada
achurtu,akhurtu
achurtua,akhurtua
achurtza,akhurtza
achurtzea,akhurtzea
achurtzeaz arrotu,akhurtzeaz arrotu
aci,azi
aci ciatua,azi ziatua
aci dana,azi dana
acia quentzeco,azia kentzeko
aciac ereitea,aziak ereitea
aciagotu,aziagotu
aciarra,aziarra
acichoa,azikhoa
aciendachoa,aziendakhoa
aciendea,aziendea
aciendoa,aziendoa
aciera,aziera
acigoquia,azigokia
acimota bat,azimota bat
acisurtea,azisurtea
acitea,azitea
acitrailora,azitrailora
acitroyá,azitroia
acitú,azitu
acitzen dana,azitzen dana
acizorroa,azizorroa
aco,ako
