aar,aárra
abade,abadea
abadetar,abadetarra
abark,abarcac
abar,abarrac
abarrots,abarrotsa
abeze,abeceá
abegor,abegorra
abegortu,abegortua
abendu,abendua
aberastasun,aberastasuna
aberastu,aberastu
aberats,aberatsa
aberats,aberatsá
abere,aberea
aberetxo,aberechoa
aberekeria,aberequeria
aberetar,aberetarra
aberetasun,aberetasuna
aberetu,aberetu
aberetu,aberetú
aberetu,aberetua
aberetzar,aberetzarra
aberia,aberia
abiatu,abiatu
abiatu,abiatua
abilidade,abilidadea
abilamendu,abillamendua
abori,aboria
abre,abrea
abre,abreá
abrebasle,abrebaslea
abrigu,abrigua
aburikai,aburicaya
abuztu,abuztua
akabatu,acabatu
akabatu,acabatua
akabatze,acabatzea
akabera,acabera
akazia,acacia
akara,acara
akaraki,acaraquia
akastu,acastu
akastu,acastua
akats,acatsa
akzidente,accidente
akzidente,accidentea
atx,achá
atxere,acherea
atxi,achia
atxuri,achuria
azi,acia
azi,aciá
azienda,acienda
azitrai,acitraya
azitu,acitua
akomodatu,acomodatu
akopilatu,acopilatua
akordarazi,acordaracia
akordatu,acordatu
akordatu,acordatua
akusazio,acusacioa
akusatu,acusatu
akusatu,acusatua
akusatzaile,acusatzallea
adakaitu,adacaitua
adar,adar
adarkada,adarcada
adarkari,adarcaria
adarkatu,adarcatu
adartxo,adarchoa
adardun,adarduna
adarme,adarmea
adar,adarra
adar,adarrac
adarreztatu,adarreztatua
adartsu,adartsua
adartu,adartu
adartu,adartua
adasti,adastia
adastu,adastua
adats,adatsa
adats,adatsá
adere,aderea
adia,adia
adi,adiac
adiakari,adiacaria
adiakatu,adiacatu
adiagile,adiaguillea
adialdun,adialduna
adib,adibac
adiera,adiera
adierazi,adieraci
adierazi,adieracia
adieragoidun,adieragoiduna
adieratsu,adieratsua
adierazkor,adierazcorra
adierazle,adierazlea
adieraztea,adieraztea
adiezgarri,adiezgarria
adigarri,adigarria
adimentar,adimentarra
adin,adina
adin,adiná
adindu,adindu
adinon,adinon
adinon,adiñona
adinkide,adinquidea
adintsu,adintsuá
adikin,adiquiña
adikizun,adiquizuna
adiragarri,adiragarria
adiskide,adisquidea
adiskidetasun,adisquidetasuna
adiskidetu,adisquidetu
adiskidetu,adisquidetua
aditu,aditu
aditu,aditua
aditz,aditza
aditzaile,aditzallea
aditzaile,aditzalleac
aditze,aditzea
adiunde,adiundea
adiurre,adiurrea
administratu,administratua
administratzaile,administratzallea
adobaki,adobaquia
adobatu,adobatua
adoragarri,adoragarria
adoratu,adoratú
adoratu,adoratua
adoratzaile,adoratzallea
adrailu,adrallua
adreztu,adreztua
aduana,aduana
aduana,aduaná
adulterio,adulterioa
afaltegi,afalteguia
afari,afaria
agakari,agacaria
agaitu,agaitua
agapuru,agapurua
agapuruzai,agapuruzaya
agata,agata
agor,agorra
agorril,agorrilla
agortasun,agortasuna
agortu,agortua
agudo,agudo
agudo,agudó
agerkai,aguercaya
ageri,agueri
ageri,agueria
agerinde,aguerindea
agerle,aguerlea
agerri,aguerria
agertari,aguertaria
agertu,aguertu
agertu,aguertú
agertu,aguertua
agertu,aguertuá
agertzaile,aguertzallea
agertze,aguertzea
agi,aguiá
agian,aguian
aginde,aguindea
agindedun,aguindeduna
agindeti,aguindetia
agindu,aguindu
agindu,aguindua
agintaldi,aguintaldia
agintari,aguintaria
agintzaile,aguintzallea
agintze,aguintzea
agirakari,aguiracaria
agiri,aguiri
agiri,aguiria
agure,agurea
aguretxo,agurechoa
aguretu,aguretu
aguretu,aguretua
aguretzar,aguretzarra
agur,agurra
agur,agurrac
agurtu,agurtu
agurtu,agurtua
agurtzaile,agurtzallea
ahaika,ahaicá
ahaikari,ahaicaria
ahaikatu,ahaicatua
ahaiko,ahaicoac
ahaldun,ahalduna
ahalke,ahalquea
ahalketi,ahalquetia
ahalketu,ahalquetu
ahalketu,ahalquetua
ahul,ahula
ahuldu,ahuldu
ahur,ahurra
aizetorki,aicetorquia
aidago,aidagoa
aidur,aidurra
ailis,ailisa
aintziratsu,ainciratsua
aingerutxo,aingueruchoa
aingerutar,ainguerutarra
aingira,ainguirá
aingura,aingura
ainguratu,ainguratu
aintzatu,aintzatu
aintzatu,aintzatua
aintzira,aintzira
aintziratsu,aintziratsua
aipatu,aipatu
aipatu,aipatua
airos,airosa
aisatu,aisatu
aita,aita
aitabitxi,aitabichia
aitabisaba,aitabisaba
aitagoi,aitagoya
aitamen,aitamena
aitakide,aitaquidea
aitaren,aitarena
aitaso,aitasoa
aitatasun,aitatasuna
aitatu,aitatu
aitaurren,aitaurrena
aitona,aitona
aitonen seme,aitonen semea
aitor,aitorrá
aitortegi,aitorteguia
aitortu,aitortu
aitortu,aitortua
aitzakia,aitzaquia
aitzakiagarri,aitzaquiagarria
aitzakiatu,aitzaquiatua
aitzin,aitzin
aitzin,aitzina
aitzinatu,aitzinatu
aitzinatu,aitziñatu
aitzinatu,áitzinatu
aitzinatu,aitzinatua
aitzinatze,aitzinatzea
aitzindari,aitzindaria
aitzindu,aitzindu
aitzindu,aitzindua
aitzineko,aitzinecoa
aitzurkada,aitzurcada
aitzurlari,aitzurlaria
aitzurle,aitzurlea
aitzur,aitzurra
aitzurtu,aitzurtu
aitzurtu,aitzurtua
aizkora,aizcora
aiztur,aizturrac
ajustatu,ajustatua
alaba,alaba
alabatxo,alabachoa
alabagarri,alabagarria
alabastro,alabastro
alabatu,alabatu
alabatu,alabatua
alabatzaile,alabatzallea
alabes,alabesa
alagai,alagaya
alaide,alaidea
alaigarri,alaigarria
alaige,alaiguea
alaitasun,alaitasuna
alaitsu,alaitsua
alaitu,alaitu
alaitu,alaitua
alaleku,alalecua
alanbre,alambrea
alamen,alamena
alamenari,alamenaria
alarazi,alaracia
alargun,alarguna
alargundu,alargundu
alargundu,alargundua
alarguntza,alarguntza
alasai,alasaya
alatzar,alatzarra
alai,alaya
albaka,albacá
albetxe,albechea
albeni,albenia
albiriste,albiristea
albiste,albistea
albo,alboa
albo,albóac
albokero,alboqueroa
alborada,alborada
alboratu,alboratu
alboratu,alboratua
alkabuz,alcabuza
alkandoratxo,alcandorachoa
alkandoratzar,alcandoratzarra
alkanfor,alcanfora
alkanforatu,alcanforatua
alkantzatu,alcanzatua
alkate,alcatea
altxaera,alchaera
altxari,alcharia
altxatu,alchatu
altxatzaile,alchatzallea
altxatze,alchatzea
altzi,alcia
aldakor,aldacorra
aldakoi,aldacoya
aldaezgarri,aldaezgarria
aldagarri,aldagarria
aldaira,aldaira
aldamen,aldamena
