LAR_LEMMA	UNIDECODE	EGOKITUA	SARASOLA	SARASOLA1745	WIKIDATA	OEH
á	a	a	a		t
a.odá	a.oda	a.oda			t
aacalá	aacala	aakala			t
aacalcorra	aacalcorra	aakalkorra			t
aacaldua	aacaldua	aakaldua			t
aadala	aadala	aadala			t
aaigarria	aaigarria	aaigarria			t
aaillaz otta	aaillaz otta	aailaz otta			t
aaitezgarriro	aaitezgarriro	aaitezgarriro			t
aantal	aantal	aantal			t
aar	aar	aar			t
aárra	aarra	aarra			t
aata	aata	aata			t
aatea	aatea	aatea			t
abadea	abadea	abadea	abade		abadetabade
abadearen barruatia	abadearen barruatia	abadearen barruatia			t
abadecharra	abadecharra	abadetxarra			t
abadejo	abadejo	abadejo			t
abadetarra	abadetarra	abadetarra			t
abaillaria	abaillaria	abailaria			t
abalcizqueta	abalcizqueta	abaltzizketa			t
abalia	abalia	abalia			t
aballada	aballada	abailada			t
aballaria	aballaria	abailaria			t
abanico	abanico	abaniko			t
abaninoa	abaninoa	abaninoa			t
abarca ezpartuzcoa	abarca ezpartuzcoa	abarka ezpartuzkoa			t
abarcac	abarcac	abarkak	abark		abarktabark
abarcatu	abarcatu	abarkatu			t
abarizqueta	abarizqueta	abarizketa			t
abarrac	abarrac	abarrak			t
abarrateguia	abarrateguia	abarrategia	abarrategi		t
abarrazcoa	abarrazcoa	abarrazkoa			t
abarreztu	abarreztu	abarreztu			t
abarroscatu	abarroscatu	abarroskatu			t
abarrosguillea	abarrosguillea	abarrosgilea			t
abarrotsa	abarrotsa	abarrotsa			tabarrots
abazuza	abazuza	abazuza			t
abazuza eguin	abazuza eguin	abazuza egin			t
abazuza erortea	abazuza erortea	abazuza erortea			t
abazuzac joa	abazuzac joa	abazuzac joa			t
abazuzari	abazuzari	abazuzari			t
abazuzari eraunstea	abazuzari eraunstea	abazuzari erauntstea			t
abdazpitu	abdazpitu	abdazpitu			t
abea	abea	abea			t
abeac	abeac	abeak			t
abecaria	abecaria	abekaria			t
abecariz	abecariz	abekariz			t
abeceá	abecea	abezea	abeze		abezetabeze
abegorra	abegorra	abegorra			t
abegortu	abegortu	abegortu			t
abegortua	abegortua	abegortua			tabegortu
abejon	abejon	abejon			t
abendua	abendua	abendua	abendu		abendutabendu
aberastasuna	aberastasuna	aberastasuna	aberastasun		aberastasuntaberastasun
aberastu	aberastu	aberastu	aberastu		aberastutaberastu
aberatsa	aberatsa	aberatsa	aberats		aberatstaberats
aberatsá	aberatsa	aberatsa	aberats		aberatstaberats
aberatsi	aberatsi	aberatsi	aberatsi		t
aberatsquiro	aberatsquiro	aberatskiro			t
abere adar bacocha	abere adar bacocha	abere adar bakotxa			t
aberé adár bacocha	abere adar bacocha	abere adar bakotxa			t
abere bat tiroquertzea	abere bat tiroquertzea	abere bat tirokertzea			t
abere dia	abere dia	abere dia			t
aberea	aberea	aberea	abere		aberetabere
abereac edanerazo	abereac edanerazo	abereac edanerazo			t
abereac edateratu	abereac edateratu	abereac edateratu			t
abereac larritu	abereac larritu	abereac larritu			t
abereac malsotu	abereac malsotu	abereac maltsotu			t
abereac tresnabaguetu	abereac tresnabaguetu	abereac tresnabagetu			t
abereai jarrai	abereai jarrai	abereai jarrai			t
aberearena	aberearena	aberearena			t
aberechoa	aberechoa	aberetxoa	aberetxo	aberetxo	taberetxo
abereen edatoquia	abereen edatoquia	abereen edatokia			t
abereguisacoa	abereguisacoa	aberegisakoa			t
aberequeria	aberequeria	aberekeria	aberekeria	aberekeria	aberekeriataberekeria
aberequiro	aberequiro	aberekiro			t
aberequiró	aberequiro	aberekiro			t
aberero	aberero	aberero			t
aberetarra	aberetarra	aberetarra			t
aberetasuna	aberetasuna	aberetasuna	aberetasun	aberetasun	taberetasun
aberetresna	aberetresna	aberetresna			t
aberetresnac quendu	aberetresnac quendu	aberetresnac kendu			t
aberetu	aberetu	aberetu	aberetu		aberetutaberetu
aberetú	aberetu	aberetu	aberetu		aberetutaberetu
aberetua	aberetua	aberetua	aberetu		aberetutaberetu
aberetzarra	aberetzarra	aberetzarra			t
aberia	aberia	aberia	aberia		aberiataberia
abetoa	abetoa	abetoa			t
abia	abia	abia	abi		t
abia eguin	abia eguin	abia egin			t
abiatu	abiatu	abiatu	abiatu		abiatutabiatu
abiatua	abiatua	abiatua	abiatu		abiatutabiatu
abicaiztu	abicaiztu	abikaiztu			t
abilidadea	abilidadea	abilidadea	abilidade		abilidadetabilidade
abillamendua	abillamendua	abilamendua	abilamendu		tabilamendu
ablandar	ablandar	ablandar			t
ablativoa	ablativoa	ablatiboa	ablatibo		ablatibot
aboaldea	aboaldea	aboaldea			t
aboaldia	aboaldia	aboaldia			t
aboatu	aboatu	aboatu	aboatu		t
abodiac	abodiac	abodiak			t
abodiatu	abodiatu	abodiatu			t
abodiatua	abodiatua	abodiatua			t
aboeztea	aboeztea	aboeztea			t
abollantza	abollantza	aboilantza			t
abollar	abollar	aboilar			t
abollatu	abollatu	aboilatu			t
abollatua	abollatua	aboilatua			t
abollatzallea	abollatzallea	aboilatzailea			t
abollatzea	abollatzea	aboilatzea			t
abominacion	abominacion	abominazion			t
abominar	abominar	abominar			t
aboria	aboria	aboria			tabori
aboztua	aboztua	aboztua			t
aboztuquia	aboztuquia	aboztukia			t
abrasma	abrasma	abrasma			t
abrea	abrea	abrea			tabre
abreá	abrea	abrea			tabre
abrearra	abrearra	abrearra			t
abrebaslea	abrebaslea	abrebaslea			tabrebasle
abrequeria	abrequeria	abrekeria	abrekeria		t
abrequi	abrequi	abreki	abreki		t
abrestasuna	abrestasuna	abrestasuna			t
abretu	abretu	abretu	abretu		t
abretua	abretua	abretua	abretu		t
abreundea	abreundea	abreundea			t
abrigatu	abrigatu	abrigatu			t
abrigua	abrigua	abrigua	abrigu		abrigutabrigu
abrildaria	abrildaria	abrildaria			t
abrildea	abrildea	abrildea			t
abrolla	abrolla	abroila			t
absolicioa	absolicioa	absolizioa			t
absolitzea	absolitzea	absolitzea			t
absoloigarriac	absoloigarriac	absoloigarriak			t
abstinennencia	abstinennencia	abstinennentzia			t
abuina	abuina	abuina			t
abundamiento	abundamiento	abundamiento			t
abundancia	abundancia	abundantzia			t
abundante	abundante	abundante			t
abundar	abundar	abundar			t
aburicatu	aburicatu	aburikatu			t
aburicaya	aburicaya	aburikaia			taburikai
aburicoa	aburicoa	aburikoa			t
abuztua	abuztua	abuztua	abuztu		abuztutabuztu
aca atu	aca atu	aka atu			t
acaa	acaa	akaa			t
acaar	acaar	akaar			t
acabable	acabable	akabable			t
acaballa	acaballa	akabaila	akabaila	akabaila	t
acaballá	acaballa	akabaila	akabaila	akabaila	t
acabantzá	acabantza	akabantza	akabantza		t
acabanza	acabanza	akabantza	akabantza		t
acabar	acabar	akabar			t
acabatu	acabatu	akabatu	akabatu		akabatutakabatu
acabatua	acabatua	akabatua	akabatu		akabatutakabatu
acabatzea	acabatzea	akabatzea			takabatze
acabera	acabera	akabera	akabera		akaberatakabera
acacia	acacia	akazia	akazia		akaziatakazia
acanalado	acanalado	akanalado			t
acara	acara	akara	akara	akara	akaratakara
acaraquia	acaraquia	akarakia			takaraki
acars	acars	akarts			t
acastu	acastu	akastu	akastu	akastu	akastutakastu
acastua	acastua	akastua	akastu	akastu	akastutakastu
acatsa	acatsa	akatsa	akats	akats	akatstakats
