abadetar,abadetarra
aberekeria,aberequeria
aberetar,aberetarra
aberetasun,aberetasuna
akabaila,acaballa
akabaila,acaballá
akara,acara
akastu,acastu
akastu,acastua
akats,acatsa
akzidente,accidente
akzidente,accidentea
azitrai,acitraya
akusazio,acusacioa
adarkada,adarcada
adarkari,adarcaria
adarkatu,adarcatu
adastu,adastu
adastu,adastua
adia,adia
adi,adiac
adiakari,adiacaria
adiakatu,adiacatu
adiera,adiera
adina,adina
adina,adiná
adinkide,adinquidea
adiurre,adiurrea
administratzaile,administratzallea
adrailu,adrallua
aduana,aduana
aduana,aduaná
afarusi,afarusia
agata,agata
agerkai,aguercaya
agerle,aguerlea
agerketa,aguerqueta
agertarazi,aguertaraci
aginde,aguindea
agintaldi,aguintaldia
aguretu,aguretu
aguretu,aguretua
agurtu,agurtu
agurtu,agurtua
agurtzaile,agurtzallea
ahaika,ahaicá
ahaikari,ahaicaria
ahaikatu,ahaicatu
ahaikatu,ahaicatua
ahaikatzaile,ahaicatzallea
aizegin,aiceguin
aizeman,aiceman
aidur,aidurra
ainbandu,aimbandu
ainbandu,aimbandua
aingerutar,ainguerutarra
aingerutzar,ainguerutzarra
ainguratu,ainguratu
ainguratu,ainguratua
aisatu,aisatu
aitabisaba,aitabisaba
aitagoi,aitagoya
aitalen,aitalena
aitamen,aitamena
aitakide,aitaquidea
aitasaba,aitasaba
aitaurren,aitaurrena
aitona,aitona
aitorde,aitordea
aitortegi,aitorteguia
aitzurkada,aitzurcada
aitzurlari,aitzurlaria
aitzurle,aitzurlea
aizape,aizapea
aiztu,aiztua
alabastro,alabastro
alaitasun,alaitasuna
alaitu,alaitu
alaitu,alaitua
alaja,alaja
alanbre,alambrea
alara,alara
alasai,alasaya
alatu,alatu
alatzar,alatzarra
alai,alaya
albiste,albistea
alborada,alborada
alkanfor,alcanfora
aldakor,aldacorra
aldaira,aldaira
aldaro,aldaroa
aldazpi,aldazpia
alderagin,alderaguin
alderagin,alderaguiña
alderantziz,alderanciz
aldimaitza,aldimaitza
alditsu,alditsua
aldor,aldorra
aldun,alduna
ale,alea
ale,aleac
alegeria,alegueria
aletu,aletua
algara,algará
algaraz,algaráz
ailegatu,allegatu
almen,almená
almen,almenac
almidoatu,almidoatu
almidoatu,almidoatua
alogeratu,alogueratu
alogeratu,alogueratua
altegi,alteguia
altzairuztatu,altzairuztatu
altzapremiatu,altzapremiatu
amabisaba,amabisaba
amabizko,amabizco
amabizko,amabizcoa
amagoi,amagoya
amasaba,amasaba
amatar,amatarra
amatzaile,amatzallea
ameskaitz,amescaitza
amesgile,amesguillea
ametz,ametzá
amilkor,amilcorra
amildu,amildu
amildu,amildua
amodiotsu,amodiotsua
amona,amoná
amorratu,amorratu
amorratu,amorratua
anparatzaile,amparatzallea
anpulu,ampulua
anaikide,anaiquidea
anaitar,anaitarra
anaitu,anaitu
anaitu,anaitua
antzina,anciná
antzina,anciña
antzinaera,anciñaera
antzinate,anciñatea
andeza,andeza
angurri,angurria
antolamendu,antolamendua
antolamendu,antolamenduá
antzarkume,antzarcumea
antzeko,antzecoa
antzestu,antzestu
antzestu,antzestua
anddere,anyerea
andderusa,anyerusa
apaidin,apaidiña
apainketa,apainqueta
apaintzaile,apaintzallea
apaiztar,apaiztarra
apaizurren,apaizurrena
apar,aparra
aparte,aparte
apartsu,apartsua
apezaita,apezaita
apote,apotea
aputio,aputioa
akirin,aquirina
arakarri,aracarria
arantzatu,aranzatu
aratuzte,aratuztea
aratuzte,aratuzteac
arautu,arautu
arautu,arautua
arazo,arazo
arazo,arazoa
arbazta,arbazta
arbazt,arbaztac
arbel,arbelá
arbiska,arbiscá
arkakuso,arcacusoa
arkaizdi,arcaizdia
ardazle,ardazlea
ardore,ardorea
ardozale,ardozalea
ardurati,arduratia
areriotasun,areriotasuna
areriotu,areriotu
arestian,arestian
arge,arguea
argiagotu,arguiagotua
argidortar,arguidortarra
argidun,arguiduna
argiontzi,arguiontzia
argiro,arguiro
argiro,arguiró
argitsu,arguitsua
armagile,armaguillea
armiarma,armiarma
arnotegi,arnoteguia
aroi,aroya
arrabiatu,arrabiatu
arrabiatu,arrabiatua
arrabio,arrabioa
arrakada,arracada
arrakada,arracadá
arrakad,arracadac
arradiza,arradiza
arradiza,arradizá
arraia,arraia
arraia,arraiá
arranpa,arrampa
arrandegi,arrandeguia
arrantzatu,arrantzatu
arrantzatu,arranzatu
arrantzatu,arranzatua
arratz,arratza
arraultza,arraultza
arraun,arraun
arraia,arráya
arrazko,arrazcoa
arre,arrea
arre,arreá
arrendu,arrendu
arrendu,arrendua
arreta,arreta
arreta,arretá
arreta,árreta
arretu,arretu
arretu,arretua
arriolio,arriolioa
arroztegi,arrozteguia
artaburu,artaburua
artale,artalea
artelatz,artelatza
artelazki,artelazquia
artemein,artemeiñ
artezari,artezaria
arturgi,arturguia
artzatu,artzatu
artzatu,artzatua
artze,artzea
artze,artzeá
asbera,asbera
asberatu,asberatu
askaera,ascaera
askatezin,ascateciña
askatzaile,ascatzallea
askai,ascaya
askordin,ascordina
asealdi,asealdia
asentsio,asensioa
asmo,asmoa
aski,asqui
askidatu,asquidatu
asalda,assalda
aserrarazi,asserraraci
astailar,astaillarra
astakeria,astaqueria
astatipula,astatipula
astazai,astazaya
astigar,astigarrá
astintzaile,astintzallea
astitsu,astitsua
astorki,astorquia
