LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
a	a	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a	
a	a2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a2	bat batetan, beingoan
a	a3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a3	
a	a4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a4	il dute Juan, bialdu det Martin
a	a5	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a5	cerca, junto, en, an, ateéetan dago, atárian dgo, surtn para ezazu, sárreran jarri zan
a	a6	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a6	ra, era, echerá noa, errirá noa, játera, edátera, ibiltera noa
a	a7	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#a7	ca, arrica, agaáca, zaldica, oinca, zaldiz, oñez
aba	aba	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aba	Caná bicó, néurria
ababol	ababol	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ababol	
abaceria	abaceria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaceria	janariteguia, jaquiteguia
abaceria	abaceria2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaceria2	arrandeguia, arateguia
abacero	abacero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abacero	janariteguiaren zaya, zaina, zaitzallea
abacero	abacero2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abacero2	araquiñá, aratepallea, arraiquiña arraiepallea
abad	abad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abad	aita, aundiena
abad	abad2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abad2	abadea, nolacó jabeá, alacó tresneá, nondic lan, andic jan, nola da hiztuna, ala da enzuna, esale, enzule
abadesa	abadesa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abadesa	andre monjen aguintaria, lenena, Abadesa, Abadeseá
abadia	abadia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abadia	Abadiá, abadearen barrutia
abada	abada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abada	aberé adár bacocha
abadejo	abadejo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abadejo	bacallaoá
abadejo	abadejo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abadejo2	pecha
abadejo	abadejo3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abadejo3	
abades	abades	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abades	
abahar	abahar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abahar	aboá, auá, aoá
abahar	abahar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abahar2	asnasé ematea, hatseman, atsedatu
abahadas	abahadas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abahadas	zopá itoac, eltzea, edó catilluá estali, taeguiten diranac
abajar	abajar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abajar	
abalado	abalado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abalado	beraá, biguña, arroa, astindua
ablgar	ablgar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#ablgar	purga
aballar	aballar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aballar	artaldea larrerá, bazcátzera, játera eráman, eróan
aballar	aballar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#aballar2	erachi, jachierazo, erautsi
abalanzarse	abalanzarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abalanzarse	egotzi, sartu, egotzi zan etsaien artera, bereala perillean sartzen da
abalorio	abalorio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abalorio	beirá nauarrezcó aléac, eztu valio pelat bat
abanderado	abanderado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanderado	banderaduná, banderatua
abanderizarse	abanderizarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanderizarse	gaizqui, ta etsairó ballerátzea
abanderizados	abanderizados	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanderizados	etsairó balleratuac
abandonar	abandonar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abandonar	vtzi, lajatu, largatu
abandonado	abandonado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abandonado	vtzia, ondo vtziá náucate, vtzieguia, utziera, lajaera, lagaera, utziera gucizcoán
abanicarse	abanicarse	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanicarse	aizatu, aizatzea
abanico	abanico	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanico	aitzequiña, aizeguillea, aizeemallea
abanillo	abanillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanillo	
abanino	abanino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abanino	abaninoa
abno	abno	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abno	aizequin aundia
abaratar	abaratar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abaratar	merquetú, merqué ifini
