janariteguia	Abaceria
jaquiteguia	Abaceria
arrandeguia	Abaceria
anariteguiaren zaya	Abacero
zaina	Abacero
zaitzallea	Abacero
araquiñá	Abacero
aratepallea	Abacero
andre monjen aguintaria	Abadeſa
lenena	Abadeſa
Aſbadeſa	Abadeſa
Adbadeſeá	Abadeſa
badiá	Abadìa
abadearen barruatia	Abadìa
aberé adár bacocha	Abada
bacallaoá	Abadejo
pecha	Abadejo
aſnaſé ematea	Abahar
hatſeman	Abahar
atſedatu	Abahar
zopá itoac	Abahadas ſopas
eltzea	Abahadas ſopas
edó catilluá eſtali	Abahadas ſopas
taeguiten diranac	Abahadas ſopas
beraá	Abalado
biguña	Abalado
arroa	Abalado
aſtindua	Abalado
artaldea larrerá , bazcátzera	Aballar
játera eráman	Aballar
eróan	Aballar
erachi	Aballar por
jachierazo	Aballar por
erautſi	Aballar por
egotzi	Abalanzarſe
ſartu	Abalanzarſe
beirá nauarrezcó aléac	Abalorio
banderaduná	Abanderado
banderatua	Abanderado
gaizqui	Abanderizarſe
ta etſairó ballerátzea	Abanderizarſe
etſairó balleratuac	Abanderizados
vtzi	Abandonar
lajatu	Abandonar
largatu	Abandonar
vtzia	Abandonado
vtzieguia	Abandonado
utziera	Abandono
lajaera	Abandono
lagaera	Abandono
aizatu	Abanicarſe
aizatzea	Abanicarſe
aitzequiña	Abanico
aizeguillea	Abanico
aizeemallea	Abanico
abaninoa	Abanino
merquetú	Abaratar
merqué ifini	Abaratar
merquetueguia	Abaratado demaſiadamente
merqiegui ifinia	Abaratado demaſiadamente
abarcac	Abarcas
abarcatu	Abarcar
gauz aſcó eguitea	Abarcar
artzea	Abarcar
echoletan	Abarracarſe
chaoletan ſartu	Abarracarſe
abéreac lur epaqui zulodúnetan ſártzea	Abarrancarſe el ganado
epaizulotú	Abarrancarſe el ganado
centernatú	Abarrancarſe el ganado
guciá era baterá	Abarriſco
naroro	Abaſtadamente
ugari	Abaſtadamente
mucuru	Abaſtadamente
murú	Abaſtadamente
naroa	Abaſtanza
ugaria	Abaſtanza
ioria	Abaſtanza
mucurua	Abaſtanza
murua	Abaſtanza
otoranzá	Abaſto
beardanez ornitzea	Abaſto
jalariaren ornidurá	Abaſto
ornitu	Abaſtar
zuzquitu	Abaſtar
beté	Abaſtar
ondaſiúnez ornituá	Abaſtado de riquezas
zuzquituá	Abaſtado de riquezas
beteá	Abaſtado de riquezas
janariz ornitú	Abaſtecer
Bollatú	Abatanar
oyalac túmpaca garbitu	Abatanar
ta trincatu	Abatanar
bollatuá	Abatanado
trincatuá	Abatanado
bollatzallea	Abatanador
bollazaina	Abatanador
trincatzallea	Abatanador
apaiz ſoñeco laburduna	Abate
beguiroc arrapatuco au	Abate
norbait azpirátzea	Abatir
lurrerátzea	Abatir
bceratzea	Abatir
azpiratua	Abatido
lurreratua	Abatido
beeratua	Abatido
azpiratzallea lurreratzallea	Abatidor
beeratzallea	Abatidor
lurreratú	Abatirſe al ſuelo
beeatú	Abatirſe al ſuelo
humillarſe	Abatire
beeratzapena	Abatimiento
beeratzea	Abatimiento
beeratu	Abaxar
beetitu	Abaxar
jachi	Abaxar
erachi	Abaxar
beeratu	Abaxarſe
bean	Abaxo
beera	Abaxo
beeti	Abaxo
beceá	Abece
erlea	Abeja
erlechoa	Abejita
erlezaia	Abejero
erlezaina	Abejero
chori erlejale bat	Abejeruco
erleen galgarria	Abejeruco
liſtorrá	Abejon
erlabioa	Abejon
liſtorra	Abejorro
otſa edo ſoñua gozatzea , gozoró ta emequi , ta leuncho auſtea	Abemolar
gozatua	Abemolado
gozoró autſia	Abemolado
betuleac	Abeñuelas
beguiroc	Abernuncio
uztarria	Andalucia
lorrá	Abeſana
ſayea	Abeſtruz
abetoa	Abeto
,bezatú	Abezarſe
oitu	Abezarſe
aci	Abezarſe
acitú	Abezarſe
oitua	Abezado
acitua	Abezado
norbait norabait ornituric bialdu egorri	Abiar
bideraco ornitua	Abiado
navarrá	Abigarrado
talde baten	Abigèo
edo erdibaten lapurrá	Abigèo
bigoteduna	Abigotado
abilidadea	Abilidad
gaytaſuna	Abilidad
cintzotaſuna	Abilidad
cintzotu	Abilitaràvno
gay eguin	Abilitaràvno
cintzotua	Abilitado
gaey eguiña	Abilitado
gayró	Abilmente
cinzor	Abilmente
cintzoqui	Abilmente
teſtamentu bague	Abinteſtato
teſtamenturic eguingabe	Abinteſtato
ezeztatzea	Abjuracion
deſeſaná	Abjuracion
deſerraná	Abjuracion
ſorbeltza	Abion
leicea	Abiſmo
leiza	Abiſmo
ondaleceá	Abiſmo
leizatu	Abiſmar
leicean ondatu	Abiſmar
leizatu naiz , cera , da , &c	Abiſmarſe
leizatua	Abiſmado
leicean ondatua	Abiſmado
belzuntza	Abiſpon
habea	Abiſpon
eulitzarrá	Abiſpon
bizcochatua	Abizcochado
beraatú	Ablandar
biguindú	Ablandar
ſamurtú	Ablandar
ematú	Ablandar
beraatu	Ablandarſe
ablativoa	Ablativo
aventador	Ablentar
ucoa	Abnegacion
bere burua ucatzea	Abnegacion
bere burua ucatú	Abnegarſe
ozcatu	Abocar
orzaz artu	Abocar
ſutumpazucendu	Abocar la artilleria
aurqueratu	Abocar la artilleria
aurquetu	Abocarſe
aurcatu	Abocarſe
aozbildua	Abocardado
lamberotu	Abochornar
ſargoritu	Abochornar
lamberotu	Abochornaſe
ſargoritu	Abochornaſe
ſargoritua	Abochornado
lamberotua	Abochornado
ſucartua	Abochornado
maſallean	Abofetear
belarondoan	Abofetear
bearriz aldean jo	Abofetear
bufetatu	Abofetear
bofetada	Abofetear
maſalleanñ	Abofeteado
&c	Abofeteado
joa	Abofeteado
bufetatua	Abofeteado
Letradunacdarabilten beargaya	Abogacìa
artecoa	Abogada
bitartecoa	Abogada
arartecoa	Abogada
letraduna	Abogado
auzijarraya	Abogado
norbaitegatic eſcatú	Abogar
norbaitequico artecoizan , eguin	Abogar
nai	Abogar
cera	Abogar
aucietan iñoren favore hitzeguitea	Abogar en Pleytos
aitonen etorquia	Abolengo
abollatu	Abollar
zacondu	Abollar
zotondu	Abollar
