anariteguiaren zaya,anaritegiaren zaia
zaitzallea,zaitzailea
araquiñá,arakina
aratepallea,aratepailea
andre monjen aguintaria,andre monjen agintaria
lenena,lenena
Aſbadeſa,Asbadesa
Adbadeſeá,Adbadesea
abadearen barruatia,abadearen barruatia
aberé adár bacocha,abere adar bakotxa
aſnaſé ematea,asnase ematea
hatſeman,hatseman
atſedatu,atsedatu
edó catilluá eſtali,edo katilua estali
taeguiten diranac,taegiten diranak
artaldea larrerá , bazcátzera,artaldea larrera , bazkatzera
játera eráman,jatera eraman
jachierazo,jatxierazo
beirá nauarrezcó aléac,beira nauarrezko aleak
banderatua,banderatua
ta etſairó ballerátzea,ta etsairo baileratzea
etſairó balleratuac,etsairo baileratuak
lajatu,lajatu
vtzieguia,utziegia
utziera,utziera
lajaera,lajaera
lagaera,lagaera
aizatu,aizatu
aizatzea,aizatzea
aitzequiña,aitzekina
aizeguillea,aizegilea
aizeemallea,aizeemailea
abaninoa,abaninoa
merqué ifini,merke ifini
merquetueguia,merketuegia
merqiegui ifinia,merqiegi ifinia
abarcatu,abarkatu
gauz aſcó eguitea,gauz asko egitea
echoletan,etxoletan
chaoletan ſartu,txaoletan sartu
abéreac lur epaqui zulodúnetan ſártzea,abereak lur epaki zulodunetan sartzea
epaizulotú,epaizulotu
centernatú,zenternatu
guciá era baterá,guzia era batera
murú,muru
ioria,ioria
otoranzá,otorantza
beardanez ornitzea,beardanez ornitzea
jalariaren ornidurá,jalariaren ornidura
ornitu,ornitu
ondaſiúnez ornituá,ondasiunez ornitua
janariz ornitú,janariz ornitu
Bollatú,Boilatu
oyalac túmpaca garbitu,oialak tunpaka garbitu
ta trincatu,ta trinkatu
bollatuá,boilatua
bollatzallea,boilatzailea
bollazaina,boilazaina
trincatzallea,trinkatzailea
apaiz ſoñeco laburduna,apaiz soneko laburduna
beguiroc arrapatuco au,begirok arrapatuko au
norbait azpirátzea,norbait azpiratzea
bceratzea,bzeratzea
beeratua,beeratua
azpiratzallea lurreratzallea,azpiratzailea lurreratzailea
beeratzallea,beeratzailea
beeatú,beeatu
humillarſe,humilartse
beeratzapena,beeratzapena
beeratzea,beeratzea
beeratu,beeratu
beetitu,beetitu
jachi,jatxi
beeratu,beeratu
bean,bean
beera,beera
beeti,beeti
beceá,bezea
chori erlejale bat,txori erlejale bat
erleen galgarria,erleen galgarria
otſa edo ſoñua gozatzea , gozoró ta emequi , ta leuncho auſtea,otsa edo sonua gozatzea , gozoro ta emeki , ta leuntxo austea
gozoró autſia,gozoro autsia
beguiroc,begirok
abetoa,abetoa
,bezatú,,bezatu
oitu,oitu
aci,azi
acitú,azitu
oitua,oitua
norbait norabait ornituric bialdu egorri,norbait norabait orniturik bialdu egorri
bideraco ornitua,biderako ornitua
talde baten,talde baten
edo erdibaten lapurrá,edo erdibaten lapurra
gay eguin,gai egin
gaey eguiña,gaei egina
gayró,gairo
cinzor,zintzor
teſtamentu bague,testamentu bage
teſtamenturic eguingabe,testamenturik egingabe
deſerraná,deserrana
leiza,leiza
ondaleceá,ondalezea
leizatu,leizatu
leicean ondatu,leizean ondatu
leizatu naiz , cera , da , &c,leizatu naiz , zera , da , &k
leicean ondatua,leizean ondatua
beraatú,beraatu
biguindú,bigindu
beraatu,beraatu
aventador,abentador
bere burua ucatzea,bere burua ukatzea
bere burua ucatú,bere burua ukatu
ozcatu,ozkatu
orzaz artu,ortzaz artu
ſutumpazucendu,sutunpazuzendu
aurqueratu,aurkeratu
aurquetu,aurketu
aurcatu,aurkatu
aozbildua,aozbildua
lamberotu,lanberotu
lamberotu,lanberotu
maſallean,masailean
belarondoan,belarondoan
bearriz aldean jo,bearriz aldean jo
bufetatu,bufetatu
bofetada,bofetada
maſalleanñ,masaileann
&c,&k
Letradunacdarabilten beargaya,Letradunakdarabilten beargaia
auzijarraya,auzijarraia
norbaitegatic eſcatú,norbaitegatik eskatu
norbaitequico artecoizan , eguin,norbaitekiko artekoizan , egin
nai,nai
aucietan iñoren favore hitzeguitea,auzietan inoren fabore hitzegitea
