janaritegi,janariteguia
jakitegi,jaquiteguia
arrandegi,arrandeguia
zain,zaina
badia,badiá
bakailao,bacallaoá
petxa,pecha
zopa ito,zopá itoac
eltze,eltzea
bera,beraá
biguin,biguña
arroa,arroa
astindu,aſtindua
erautsi,erautſi
sartu,ſartu
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
largatu,largatu
utzi,vtzia
merketu,merquetú
abark,abarcac
ugari,ugari
mukuru,mucuru
naro,naroa
ugari,ugaria
mukuru,mucurua
muru,murua
bete,beté
zuzkitu,zuzquituá
bete,beteá
trinkatu,trincatuá
lurreratze,lurrerátzea
azpiratu,azpiratua
lurreratu,lurreratua
lurreratu,lurreratú
erle,erlea
erletxo,erlechoa
erlezain,erlezaina
listor,liſtorrá
erlabio,erlabioa
listor,liſtorra
gozatu,gozatua
betule,betuleac
uztarri,uztarria
lor,lorrá
saie,ſayea
azitu,acitua
nabar,navarrá
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
zintzotu,cintzotu
zintzotu,cintzotua
ezeztatze,ezeztatzea
desesan,deſeſaná
sorbeltz,ſorbeltza
leize,leicea
leizatu,leizatua
habe,habea
eulitzar,eulitzarrá
bizkotxatu,bizcochatua
samurtu,ſamurtú
ematu,ematú
uko,ucoa
sargoritu,ſargoritu
sargoritu,ſargoritu
lanberotu,lamberotua
sukartu,ſucartua
jo,joa
bufetatu,bufetatua
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
zer,cera
mailatu,mallatu
koskatu,coſcatu
maliatu,maliatua
mailatu,mallatua
zokondu,zocondua
koskatu,coſcatua
koskatzaile,coſcatzallea
zokon,zocona
koska,coſca
nazka,nazca
ontzatu,ontzatua
ontzat eman,ontzat emaná
aberats,aberatſá
ugari,ugari
gorotzatu,gorotzatua
inaurkindu,iñaurquindua
ertzatu,ertzatua
alboratu,alboratua
gorrotatu,gorrotatu
gaitzetsi,gaitzetſi
gorroto,gorrotoa
gorrotatu,gorrotatua
gorrotagarri,gorrotagarria
erabe,erabea
gorroto,gorrotoa
gaitzereste,gaitzereſtea
igori,igoria
buiatu,buyatua
botoitu,botoitua
uztaitu,uztaitua
ezarri,ezarria
erre,erre
erre,errea
erretzaile,erretzallea
erre,erre
erredura,erredura
errapen,errapena
laztandu,laztandu
eman,eman
besarkatu,beſarcatu
laztandu,laztandua
besarkatu,beſarcatua
arraiztu,arraiztua
laztanari,laztanaria
laztan emaile,laztan emallea
besarkatzaile,beſarcatzallea
laztan,laztana
besarkatze,beſarcatzea
arpoi,arpoyac
edaran,edarana
laburtu,laburtu
laburtu,laburtua
laburtzaile,laburtzallea
irekitzaile,irequitzallea
otailari,otallaria
zer,cera
kentze,quentzea
berotu,berotu
ezkutatze,ezcutatzea
sartze,ſartzea
seguru,ſegurua
nozge,nozguea
abrigu,abrigua
bero,beroa
jorrail,jorrailla
zabaldu,zabaldu
ireki,irequi
urratu,urratu
erdiratu,erdiratu
zatitu,zatitu
idiki,idiquia
idikitu,idiquitua
zabal,zabala
zabaldu,zabaldua
autsi,autſia
urratu,urratua
erdiratu,erdiratua
zatitu,zatitua
zabaltze,zabaltzea
arrakada,arracadá
indarge,indarguea
zedeneztatu,cedeneztatua
ezkutatze,ezcutatzea
gordetze,gordetzea
brokeldu,broqueldua
ezkutatu,ezcutatua
askatze,aſcatzea
askatu,aſcatua
hitz,hitzac
begiratze,beguiratzea
urrijale,urrijalea
estali,eſtalia
egokiez,egoquieza
basoilar,baſollarra
ate,até
amona,amoná
amaso,amaſoa
amagoi,amagoya
aitona,aitona
aitaso,aitaſoa
aitagoi,aitagoya
asab,aſabac
buiatu,buiatua
ubeltze,vbeltzea
iduritze,iduritzea
ugari,ugaria
ugaritasun,ugaritaſuna
naro,naroá
narotasun,narotaſuna
frankotasun,francotaſuna
ugaritsu,ugaritſua
ugari,ugariá
naro,naroá
ugari,ugari
ugari,ugari
astotu,aſtotua
egite,eguitea
gogaizio,gogaicioa
gogaipen,gogaipena
gogaitu,gogaitu
gogaitu,gogaitu
gogaitu,gogaitua
berdindu,berdindu
osatu,oſatu
bukatu,bucatu
akabatu,acabatu
bukatu,bucatua
akabatu,acabatu
bukatze,bucatzea
akabatze,acabatzea
orain,oraiñ
egin,eguin
bukaera,bucaera
amanda,amandá
akazia,acacia
suertatu,ſuertatu
gertaera,guertaera
jaso,jaſó
kalkatu,calcatu
