EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
janaritegia	janariteguia	janariteguia	janaritegi	janaritegi		janaritegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=janaritegi
jakitegia	jaquiteguia	jaquiteguia				jakitegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jakitegi
arrandegia	arrandeguia	arrandeguia	arrandegi	arrandegi	arrandegi	arrandegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arrandegi
anaritegiaren zaia	anariteguiaren zaya	anariteguiaren zaya					
zaina	zaina	zaina	zain		zain	zain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zain
zaitzailea	zaitzallea	zaitzallea					
arakina	araquiña	araquiñá					
aratepailea	aratepallea	aratepallea					
andre monjen agintaria	andre monjen aguintaria	andre monjen aguintaria					
lenena	lenena	lenena					
Asbadesa	Asbadesa	Aſbadeſa					
Adbadesea	Adbadesea	Adbadeſeá					
badia	badia	badiá	badia		badia	badia	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=badia
abadearen barruatia	abadearen barruatia	abadearen barruatia					
abere adar bakotxa	abere adar bacocha	aberé adár bacocha					
bakailaoa	bacallaoa	bacallaoá	bakailao		bakailao	bakailao	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bakailao
petxa	pecha	pecha	petxa		petxa	petxa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=petxa
asnase ematea	asnase ematea	aſnaſé ematea					
hatseman	hatseman	hatſeman					
atsedatu	atsedatu	atſedatu					
zopa itoak	zopa itoac	zopá itoac				zopa ito	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zopa ito
eltzea	eltzea	eltzea	eltze		eltze	eltze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eltze
edo katilua estali	edo catillua estali	edó catilluá eſtali					
taegiten diranak	taeguiten diranac	taeguiten diranac					
beraa	beraa	beraá	bera		bera	bera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bera
biguina	biguña	biguña	biguin	biguin		biguin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=biguin
arroa	arroa	arroa	arroa		arroa	arroa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arroa
astindua	astindua	aſtindua	astindu		astindu	astindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=astindu
artaldea larrera , bazkatzera	artaldea larrera , bazcatzera	artaldea larrerá , bazcátzera					
jatera eraman	jatera eraman	játera eráman					
eroan	eroan	eróan	eroan				
eratxi	erachi	erachi	eratxi	eratxi			
jatxierazo	jachierazo	jachierazo					
erautsi	erautsi	erautſi	erautsi		erautsi	erautsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erautsi
egotzi	egotzi	egotzi	egotzi				
sartu	sartu	ſartu	sartu		sartu	sartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartu
beira nauarrezko aleak	beira nauarrezco aleac	beirá nauarrezcó aléac					
banderaduna	banderaduna	banderaduná	banderadun		banderadun	banderadun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=banderadun
banderatua	banderatua	banderatua					
gaizki	gaizqui	gaizqui	gaizki		gaizki	gaizki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gaizki
ta etsairo baileratzea	ta etsairo balleratzea	ta etſairó ballerátzea					
etsairo baileratuak	etsairo balleratuac	etſairó balleratuac					
utzi	vtzi	vtzi	utzi		utzi	utzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=utzi
lajatu	lajatu	lajatu					
largatu	largatu	largatu			largatu	largatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=largatu
utzia	vtzia	vtzia	utzi		utzi	utzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=utzi
utziegia	vtzieguia	vtzieguia					
utziera	utziera	utziera					
lajaera	lajaera	lajaera					
lagaera	lagaera	lagaera					
aizatu	aizatu	aizatu					
aizatzea	aizatzea	aizatzea					
aitzekina	aitzequiña	aitzequiña					
aizegilea	aizeguillea	aizeguillea					
aizeemailea	aizeemallea	aizeemallea					
abaninoa	abaninoa	abaninoa					
merketu	merquetu	merquetú			merketu	merketu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=merketu
merke ifini	merque ifini	merqué ifini					
merketuegia	merquetueguia	merquetueguia					
merqiegi ifinia	merqiegui ifinia	merqiegui ifinia					
abarkak	abarcac	abarcac	abark		abark	abark	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=abark
abarkatu	abarcatu	abarcatu					
gauz asko egitea	gauz asco eguitea	gauz aſcó eguitea					
artzea	artzea	artzea	artze	artze			
etxoletan	echoletan	echoletan					
txaoletan sartu	chaoletan sartu	chaoletan ſartu					
abereak lur epaki zulodunetan sartzea	abereac lur epaqui zulodunetan sartzea	abéreac lur epaqui zulodúnetan ſártzea					
epaizulotu	epaizulotu	epaizulotú					
zenternatu	centernatu	centernatú					
guzia era batera	gucia era batera	guciá era baterá					
naroro	naroro	naroro	naroro	naroro			
ugari	ugari	ugari	ugari		ugari	ugari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugari
mukuru	mucuru	mucuru	mukuru		mukuru	mukuru	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mukuru
muru	muru	murú					
naroa	naroa	naroa	naro	naro		naro	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=naro
