janaritegi,janariteguia
arrandegi,arrandeguia
zain,zaina
badia,badiá
bakailao,bacallaoá
petxa,pecha
eltze,eltzea
bera,beraá
biguin,biguña
arroa,arroa
astindu,aſtindua
eroan,eróan
eratxi,erachi
erautsi,erautſi
egotzi,egotzi
sartu,ſartu
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
utzi,vtzia
abark,abarcac
artze,artzea
naroro,naroro
ugari,ugari
mukuru,mucuru
naro,naroa
ugari,ugaria
mukuru,mucurua
zuzkitu,zuzquitu
bete,beté
zuzkitu,zuzquituá
bete,beteá
trinkatu,trincatuá
eratxi,erachi
erle,erlea
erlezai,erlezaia
erlezain,erlezaina
erlabio,erlabioa
gozatu,gozatua
uztarri,uztarria
lor,lorrá
nabar,navarrá
bigotedun,bigoteduna
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
zintzotu,cintzotu
zintzotu,cintzotua
zintzoki,cintzoqui
sorbeltz,ſorbeltza
leize,leicea
beltzuntza,belzuntza
habe,habea
eulitzar,eulitzarrá
samurtu,ſamurtú
ematu,ematú
ablatibo,ablativoa
uko,ucoa
sargoritu,ſargoritu
sargoritu,ſargoritu
sargoritu,ſargoritua
jo,joa
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
zera,cera
mailatu,mallatu
koskatu,coſcatu
mailatu,mallatua
koskatu,coſcatua
koska,coſca
nazka,nazca
naga,naga
ongitu,onguitu
maltsotu,malſotu
aberats,aberatſá
ugari,ugari
naroro,naroró
zimaurtu,cimaurtú
zimaurtu,cimaurtua
gorrotatu,gorrotatu
gaitzetsi,gaitzetſi
gorroto,gorrotoa
gorrotatu,gorrotatua
gorrotagarri,gorrotagarria
gaitzetsigarri,gaitzetſigarria
gorroto,gorrotoa
gaitzerizkoa,gaitzerizcoa
bertiztu,bertiztu
bertitz,bertitzá
sortu,ſortua
bertitz,bertitzá
buiatu,buyatua
botoitu,botoitua
ezarri,ezarria
erre,erre
erre,errea
erretzaile,erretzallea
erre,erre
erretzen,erretzen
erredura,erredura
laztandu,laztandu
eman,eman
besarkatu,beſarcatu
laztandu,laztandua
besarkatu,beſarcatua
besarkatzaile,beſarcatzallea
laztan,laztana
arraizia,arraicia
arpoi,arpoyac
edaran,edaran
edanarazi,edanaraci
edaran,edarana
laburtu,laburtu
laburtu,laburtua
biziro,biciró
otailari,otallaria
zera,cera
berotu,berotu
seguru,ſegurua
abrigu,abrigua
bero,beroa
jorrail,jorrailla
idiki,idiqui
zabaldu,zabaldu
ireki,irequi
urratu,urratu
erdiratu,erdiratu
zatitu,zatitu
idiki,idiquia
zabal,zabala
zabaldu,zabaldua
urratu,urratua
erdiratu,erdiratua
zatitu,zatitua
zabalkiro,zabalquiro
arrakada,arracadá
sasilar,ſaſilarra
gordetze,gordetzea
ezkutatu,ezcutatua
zolditu,zolditua
guziro,guciró
deblauki,deblauqui
askatu,aſcatua
hitz,hitzac
sortatu,ſortatú
estali,eſtalia
egokiez,egoquieza
basoilar,baſollarra
kukurusta,cucuruſtá
ate,até
mueta,mueta
amona,amoná
amasaba,amaſaba
amaso,amaſoa
amagoi,amagoya
aitona,aitona
aitasaba,aitaſaba
aitaso,aitaſoa
aitagoi,aitagoya
asab,aſabac
buiatu,buiatua
asko,aſcó
zen,zen
gatx,gachac
ugari,ugaria
ugaritasun,ugaritaſuna
naro,naroá
narotasun,narotaſuna
frankotasun,francotaſuna
ugaritsu,ugaritſua
narotsu,narotſua
ugari,ugariá
naro,naroá
ugariki,ugariqui
naroki,naroqui
ugari,ugari
naro,naró
oparo,oparó
ugari,ugari
astotu,aſtotua
egite,eguitea
gogaitu,gogaitu
gogaiterazo,gogaiterazo
gogaitarazi,gogaitaraci
gogaitu,gogaitu
gogaitu,gogaitua
ifini,ifiñi
berdindu,berdindu
osatu,oſatu
bukatu,bucatu
akabatu,acabatu
bukatu,bucatua
akabatu,acabatu
bukarazi,bucaraci
bukaerazo,bucaerazo
orain,oraiñ
oraintxe,orainche
egin,eguin
akabantza,acabantzá
akabaila,acaballá
bukaera,bucaera
amanda,amandá
akazia,acacia
ikasola,icaſolá
bilguma,bilgumá
suertatu,ſuertatu
gertaera,guertaera
jaso,jaſó
tinkatu,tincatu
tinkatu,tincatua
estutu,eſtutua
isildu,iſildu
isilarazi,iſilaraci
isilarazi,iſilaracia
berotu,berotu
berotu,berotua
ifini,ifiñi
ifini,ifiñia
josi,joſi
zulatu,zulatu
zulatu,zulatua
sutunpa,ſutumpa
moretu,moretua
maitatu,maitatu
balakatu,balacatu
maitatu,maitatua
balakatu,balacatua
maitatzaile,maitatzallea
balakatzaile,balacatzallea
garraiatu,garrayatú
garraiatu,garrayatua
garraiatzaile,garrayatzallea
eraio,erayo
erakarri,eracarri
garraio,garrayoa
noaski,noaſqui
ausaz,auſaz
agian,aguian
noaski,noaſqui
ustekabean,uſtecabean
ustekabe,uſtecabea
kostumatu,coſtumatua
ondasundun,ondaſunduna
dirudun,diruduna
zuzkitu,zuzquitua
diru,diru
zuzendu,zuzendu
eraman,eraman
eraman,erámana
zuzendu,zucendua
zuzentzaile,zuzentzallea
agintari,aguintaria
mina,miña
eri,eria
eritasun,eritaſuna
akzidente,accidentea
eritu,eritua
ustekabe,uſtecabea
ustekabeko,uſtecabecoa
ustekabean,uſtecabean
egiteko,eguitecoa
eginbide,eguinbidea
zuzen,zucena
esker,eſquerrá
esker emate,eſquer emátea
igiera,iguiera
gorosti,goroſtia
zelatatu,celatatu
begietsi,beguietſi
zelatatu,celatatua
zelatari,celataria
zezinatu,ceciñatu
zezinatu,ceciñatua
gazitu,gacitua
mindu,mindú
ozpindu,ozpindu
samin,ſamiña
mina,miña
ozpindu,ozpindua
mina,miña
mina,mina
samin,ſamiña
samin,ſamina
lapastu,lapaſtú
gazuratu,gazuratú
lapastu,lapaſtua
gazuratu,gazuratua
mina,miña
mina,mina
samin,ſamiña
mineta,minetá
olio,olioa
oliontzi,olioncia
olibo,oliboa
laster,laſterrá
laster,laſtér
agudo,agudó
biziro,viciró
zerba,cerbá
mando,mandoa
zamari,zamariá
mandazai,mandazaya
mandazain,mandazaina
zamarizain,zamarizaina
beregandu,beregandu
garbitzaile,garbitzallea
mintzoera,minzoera
berbaera,verbaera
bizi,vicia
geldi,gueldia
astitsu,aſtitſua
bezala,bezala
ifini,ifiñi
ezarri,ezarri
errotari,errotaria
errotazai,errotazaya
garlopatu,garlopatu
garlopatu,garlopatua
irakurri,iracurri
oniritzi,oniritzia
erreten,erretená
latsa,latſá
lerro,lerroá
altzairuztatu,altzairuztatu
laztasun,laztaſuna
garrazkiro,garrazquiró
gogorkiro,gogorquiró
latz,latzá
garratz,garratzá
gogor,gogorrá
alderatu,alderatu
urtu,urtú
alderatu,alderatua
alderatu,alderatu
lazki,lazqui
bortitz,bortitzá
latz,latzá
asmatu,aſmatú
somatu,ſomatú
asmatzaile,aſmatzallea
asmakizun,aſmaquizuna
asmatu,aſmatua
somatu,ſomatua
jo,jo
ukitu,uquitú
hunkitu,hunquitú
suertatu,ſuertatu
gertatu,guertatu
aitzakia,aitzaquia
atxakia,achaquia
eritasun,eritaſunac
erbaltasun,erbaltaſunac
narrio,narrioac
gaixotasun,gaiſyotaſunac
gaixoti,gaiſyotia
txiki,chiqui
txikitu,chiquitu
txipitu,chipitu
txikertu,chiquertu
txikitu,chiquitua
txipitu,chipitua
txikertu,chiquertua
kiskaldu,quiſcaldu
txigortu,chigortú
kiskaldu,quiſcaldua
txigortu,chigortua
etorri,etorri
itzuli,itzuli
etorri,etorria
itzuli,itzulia
lerdatu,lerdatu
zapaldu,zapaldu
noruntz,norunz
belar,belar
garraztu,garraztú
mindu,mindua
garraztu,garraztua
zirikari,ciricaria
akzidente,accidente
nagitasun,naguitaſuna
nagikeria,naguiqueria
alperkeria,alperqueria
alfer,alferra
latx,lachá
garratx,garrachá
gabikotu,gabicotu
gabikotu,gabicotua
gabiko,gabicoá
mugarri,mugarriac
ojuka,ojuca
deadarkari,deadarcaria
argitu,arguitu
argitu,arguitua
argitu,arguitu
desalaitu,deſalaitu
