janariteguia	Abaceria
jaquiteguia	Abaceria
arrandeguia	Abaceria
anariteguiaren zaya	Abacero
zaina	Abacero
zaitzallea	Abacero
araquina	Abacero
aratepallea	Abacero
andre monjen aguintaria	Abadeſa
lenena	Abadeſa
Asbadesa	Abadeſa
Adbadesea	Abadeſa
badia	Abadìa
abadearen barruatia	Abadìa
abere adar bacocha	Abada
bacallaoa	Abadejo
pecha	Abadejo
asnase ematea	Abahar
hatseman	Abahar
atsedatu	Abahar
zopa itoac	Abahadas ſopas
eltzea	Abahadas ſopas
edo catillua estali	Abahadas ſopas
taeguiten diranac	Abahadas ſopas
beraa	Abalado
biguna	Abalado
arroa	Abalado
astindua	Abalado
artaldea larrera , bazcatzera	Aballar
jatera eraman	Aballar
eroan	Aballar
erachi	Aballar por
jachierazo	Aballar por
erautsi	Aballar por
egotzi	Abalanzarſe
sartu	Abalanzarſe
beira nauarrezco aleac	Abalorio
banderaduna	Abanderado
banderatua	Abanderado
gaizqui	Abanderizarſe
ta etsairo balleratzea	Abanderizarſe
etsairo balleratuac	Abanderizados
vtzi	Abandonar
lajatu	Abandonar
largatu	Abandonar
vtzia	Abandonado
vtzieguia	Abandonado
utziera	Abandono
lajaera	Abandono
lagaera	Abandono
aizatu	Abanicarſe
aizatzea	Abanicarſe
aitzequina	Abanico
aizeguillea	Abanico
aizeemallea	Abanico
abaninoa	Abanino
merquetu	Abaratar
merque ifini	Abaratar
merquetueguia	Abaratado demaſiadamente
merqiegui ifinia	Abaratado demaſiadamente
abarcac	Abarcas
abarcatu	Abarcar
gauz asco eguitea	Abarcar
artzea	Abarcar
echoletan	Abarracarſe
chaoletan sartu	Abarracarſe
abereac lur epaqui zulodunetan sartzea	Abarrancarſe el ganado
epaizulotu	Abarrancarſe el ganado
centernatu	Abarrancarſe el ganado
gucia era batera	Abarriſco
naroro	Abaſtadamente
ugari	Abaſtadamente
mucuru	Abaſtadamente
muru	Abaſtadamente
naroa	Abaſtanza
ugaria	Abaſtanza
ioria	Abaſtanza
mucurua	Abaſtanza
murua	Abaſtanza
otoranza	Abaſto
beardanez ornitzea	Abaſto
jalariaren ornidura	Abaſto
ornitu	Abaſtar
zuzquitu	Abaſtar
bete	Abaſtar
ondasiunez ornitua	Abaſtado de riquezas
zuzquitua	Abaſtado de riquezas
betea	Abaſtado de riquezas
janariz ornitu	Abaſtecer
Bollatu	Abatanar
oyalac tumpaca garbitu	Abatanar
ta trincatu	Abatanar
bollatua	Abatanado
trincatua	Abatanado
bollatzallea	Abatanador
bollazaina	Abatanador
trincatzallea	Abatanador
apaiz soneco laburduna	Abate
beguiroc arrapatuco au	Abate
norbait azpiratzea	Abatir
lurreratzea	Abatir
bceratzea	Abatir
azpiratua	Abatido
lurreratua	Abatido
beeratua	Abatido
azpiratzallea lurreratzallea	Abatidor
beeratzallea	Abatidor
lurreratu	Abatirſe al ſuelo
beeatu	Abatirſe al ſuelo
humillarse	Abatire
beeratzapena	Abatimiento
beeratzea	Abatimiento
beeratu	Abaxar
beetitu	Abaxar
jachi	Abaxar
erachi	Abaxar
beeratu	Abaxarſe
bean	Abaxo
beera	Abaxo
beeti	Abaxo
becea	Abece
erlea	Abeja
erlechoa	Abejita
erlezaia	Abejero
erlezaina	Abejero
chori erlejale bat	Abejeruco
erleen galgarria	Abejeruco
listorra	Abejon
erlabioa	Abejon
listorra	Abejorro
otsa edo sonua gozatzea , gozoro ta emequi , ta leuncho austea	Abemolar
gozatua	Abemolado
gozoro autsia	Abemolado
betuleac	Abeñuelas
beguiroc	Abernuncio
uztarria	Andalucia
lorra	Abeſana
sayea	Abeſtruz
abetoa	Abeto
,bezatu	Abezarſe
oitu	Abezarſe
aci	Abezarſe
acitu	Abezarſe
oitua	Abezado
acitua	Abezado
norbait norabait ornituric bialdu egorri	Abiar
bideraco ornitua	Abiado
navarra	Abigarrado
talde baten	Abigèo
edo erdibaten lapurra	Abigèo
bigoteduna	Abigotado
abilidadea	Abilidad
gaytasuna	Abilidad
cintzotasuna	Abilidad
cintzotu	Abilitaràvno
gay eguin	Abilitaràvno
cintzotua	Abilitado
gaey eguina	Abilitado
gayro	Abilmente
cinzor	Abilmente
cintzoqui	Abilmente
testamentu bague	Abinteſtato
testamenturic eguingabe	Abinteſtato
ezeztatzea	Abjuracion
desesana	Abjuracion
deserrana	Abjuracion
sorbeltza	Abion
leicea	Abiſmo
leiza	Abiſmo
ondalecea	Abiſmo
leizatu	Abiſmar
leicean ondatu	Abiſmar
leizatu naiz , cera , da , &c	Abiſmarſe
leizatua	Abiſmado
leicean ondatua	Abiſmado
belzuntza	Abiſpon
habea	Abiſpon
eulitzarra	Abiſpon
bizcochatua	Abizcochado
beraatu	Ablandar
biguindu	Ablandar
samurtu	Ablandar
ematu	Ablandar
beraatu	Ablandarſe
ablativoa	Ablativo
aventador	Ablentar
ucoa	Abnegacion
bere burua ucatzea	Abnegacion
bere burua ucatu	Abnegarſe
ozcatu	Abocar
orzaz artu	Abocar
sutumpazucendu	Abocar la artilleria
aurqueratu	Abocar la artilleria
aurquetu	Abocarſe
aurcatu	Abocarſe
aozbildua	Abocardado
lamberotu	Abochornar
sargoritu	Abochornar
lamberotu	Abochornaſe
sargoritu	Abochornaſe
sargoritua	Abochornado
lamberotua	Abochornado
sucartua	Abochornado
masallean	Abofetear
belarondoan	Abofetear
bearriz aldean jo	Abofetear
bufetatu	Abofetear
bofetada	Abofetear
masalleann	Abofeteado
&c	Abofeteado
joa	Abofeteado
bufetatua	Abofeteado
Letradunacdarabilten beargaya	Abogacìa
artecoa	Abogada
bitartecoa	Abogada
arartecoa	Abogada
letraduna	Abogado
auzijarraya	Abogado
norbaitegatic escatu	Abogar
norbaitequico artecoizan , eguin	Abogar
nai	Abogar
cera	Abogar
aucietan inoren favore hitzeguitea	Abogar en Pleytos
aitonen etorquia	Abolengo
abollatu	Abollar
zacondu	Abollar
zotondu	Abollar
mallatu	Abollar
maliatu	Abollar
coscatu	Abollar
abollatua	Abollado
maliatua	Abollado
mallatua	Abollado
zacondua	Abollado
zocondua	Abollado
