arrandegi,arrandeguia
zain,zaina
badia,badiá
bakailao,bacallaoá
petxa,pecha
eltze,eltzea
bera,beraá
bigun,biguña
arroa,arroa
astindu,aſtindua
erautsi,erautſi
sartu,ſartu
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
largatu,largatu
utzi,vtzia
merketu,merquetú
abark,abarcac
ugari,ugari
mukuru,mucuru
ugari,ugaria
mukuru,mucurua
bete,beté
bete,beteá
trinkatu,trincatuá
lurreratze,lurrerátzea
azpiratu,azpiratua
lurreratu,lurreratua
lurreratu,lurreratú
erle,erlea
erlezain,erlezaina
gozatu,gozatua
uztarri,uztarria
lor,lorrá
nabar,navarrá
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
zintzotu,cintzotu
zintzotu,cintzotua
sorbeltz,ſorbeltza
leize,leicea
habe,habea
samurtu,ſamurtú
ematu,ematú
ablatibo,ablativoa
uko,ucoa
sargoritu,ſargoritu
sargoritu,ſargoritu
sargoritu,ſargoritua
sukartu,ſucartua
jo,joa
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
zer,cera
mailatu,mallatu
koskatu,coſcatu
mailatu,mallatua
koskatu,coſcatua
koska,coſca
nazka,nazca
aberats,aberatſá
ugari,ugari
alboratu,alboratua
gorrotatu,gorrotatu
gaitzetsi,gaitzetſi
gorroto,gorrotoa
gorrotatu,gorrotatua
gorrotagarri,gorrotagarria
gorroto,gorrotoa
sortu,ſortua
buiatu,buyatua
ezarri,ezarria
erre,erre
erre,errea
erretzaile,erretzallea
erre,erre
erredura,erredura
laztandu,laztandu
eman,eman
besarkatu,beſarcatu
laztandu,laztandua
besarkatu,beſarcatua
laztan,laztana
arpoi,arpoyac
ego,egoa
laburtu,laburtu
laburtu,laburtua
zer,cera
berotu,berotu
seguru,ſegurua
abrigu,abrigua
bero,beroa
zabaldu,zabaldu
ireki,irequi
urratu,urratu
erdiratu,erdiratu
zatitu,zatitu
zabaldu,zabaldua
