bat batetan,bat batetan
beingoan,beingoan
il dute Juan,il dute Juan
bialdu det Martin,bialdu det Martin
cerca,zerka
junto,junto
en,en
an,an
ateéetan dago,ateeetan dago
atárian dgo,atarian dgo
ſurtn para ezazu,surtn para ezazu
ſárreran jarri zan,sarreran jarri zan
ra,ra
echerá noa,etxera noa
errirá noa,errira noa
játera,jatera
edátera,edatera
ibiltera noa,ibiltera noa
arrica,arrika
agaáca,agaaka
zaldica,zaldika
oinca,oinka
zaldiz,zaldiz
oñez,oinez
Caná bicó,Cana biko
arateguia,arategia
janariteguiaren zaya,janaritegiaren zaia
zaitzallea,zaitzailea
araquiñá,arakina
aratepallea,aratepailea
arraiquiña arraiepallea,arraikina arraiepailea
aundiena,aundiena
nolacó jabeá,nolako jabea
alacó treſneá,alako tresnea
nondic lan,nondik lan
andic jan,andik jan
nola da hiztuna,nola da hiztuna
ala da enzuna,ala da entzuna
andre monjen aguintaria,andre monjen agintaria
lenena,lenena
Abadeſa,Abadesa
Abadeſeá,Abadesea
Abadiá,Abadia
abadearen barrutia,abadearen barrutia
aberé adár bacocha,abere adar bakotxa
aſnaſé ematea,asnase ematea
hatſeman,hatseman
atſedatu,atsedatu
edó catilluá eſtali,edo katilua estali
taeguiten diranac,taegiten diranak
artaldea larrerá,artaldea larrera
bazcátzera,bazkatzera
játera eráman,jatera eraman
jachierazo,jatxierazo
egotzi zan etſaien artera,egotzi zan etsaien artera
bereala perillean ſartzen da,bereala perilean sartzen da
beirá nauarrezcó aléac,beira nauarrezko aleak
eztu valio pelat bat,eztu balio pelat bat
banderatua,banderatua
ta etſairó ballerátzea,ta etsairo baileratzea
etſairó balleratuac,etsairo baileratuak
lajatu,lajatu
ondo vtziá náucate,ondo utzia naukate
vtzieguia,utziegia
utziera,utziera
lajaera,lajaera
lagaera,lagaera
utziera gucizcoán,utziera guzizkoan
aizatu,aizatu
aizatzea,aizatzea
aitzequiña,aitzekina
aizeguillea,aizegilea
aizeemallea,aizeemailea
abaninoa,abaninoa
aizequin aundia,aizekin aundia
merqué ifini,merke ifini
merquetueguia,merketuegia
merqiegui ifinia,merqiegi ifinia
au barca,au barka
quien mucho abarca,kien mutxo abarka
poco aprieta,poko aprieta
abarcatu,abarkatu
gauz aſcó eguitea,gauz asko egitea
aſco abarcatzea,asko abarkatzea
da guichi eſtutzea,da gitxi estutzea
ſco eguin nai,sko egin nai
guichi eguin bay,gitxi egin bai
echoletan,etxoletan
chaoletan ſartu,txaoletan sartu
amancebarſe,amantzebartse
barragan,barragan
abéreac lur epaqui zulodúnetan ſártzea,abereak lur epaki zulodunetan sartzea
epaizulotú,epaizulotu
centernatú,zenternatu
barranco,barranko
barrizjo,barrizjo
u berrizjo,u berrizjo
barrizco,barrizko
barritſu,barritsu
guciá era baterá,guzia era batera
murú,muru
ioria,ioria
otoranzá,otorantza
beardanez ornitzea,beardanez ornitzea
jalariaren ornidurá,jalariaren ornidura
ornitu,ornitu
bear,bear
guciaz zuzquitu,guziaz zuzkitu
ondaſiúnez ornituá,ondasiunez ornitua
ornitueguia,ornituegia
janariz ornitú,janariz ornitu
ondo ornitua dago,ondo ornitua dago
Batan,Batan
Bollatú,Boilatu
oyalac túmpaca garbitu,oialak tunpaka garbitu
ta trincatu,ta trinkatu
bollatuá,boilatua
bollatueguia,boilatuegia
bollatzallea,boilatzailea
bollazaina,boilazaina
trincatzallea,trinkatzailea
apaiz ſoñeco laburduna,apaiz soineko laburduna
beguiroc arrapatuco au,begirok arrapatuko au
norbait azpirátzea,norbait azpiratzea
bceratzea,bzeratzea
beeratua,beeratua
chit beeratua dáucate,txit beeratua daukate
azpiratueguia,azpiratuegia
&c,&k
azpiratzallea lurreratzallea,azpiratzailea lurreratzailea
beeratzallea,beeratzailea
beeatú,beeatu
lurreratzen naiz,lurreratzen naiz
da,da
lurreratzen guera,lurreratzen gera
cerate,zerate
dira &c,dira &k
ez naiz ni beeratzen charqueria orietara,ez naiz ni beeratzen txarkeria orietara
humillarſe,humilartse
beeratzapena,beeratzapena
beeratzea,beeratzea
beeratzapen aundienean,beeratzapen aundienean
zpiratze andienean,zpiratze andienean
beeratu,beeratu
beetitu,beetitu
jachi,jatxi
naiz,naiz
bean,bean
beera,beera
beeti,beeti
nago,nago
beera noa,beera noa
beeti noa,beeti noa
beerago,beerago
beetiago,beetiago
beecoa,beekoa
beecoa goi,beekoa goi
azpicoa gaiñ,azpikoa gain
Erregue ez beſte gucien bildur naiz Erregueaz campora gucien bildur naiz,Errege ez beste guzien bildur naiz Erregeaz kanpora guzien bildur naiz
beeregui,beeregi
renunciar,renuntziar
beceá,bezea
Adbecea eztaqui,Adbezea eztaki
abecedarioa,abezedarioa
ave,abe
abejeruco,abejeruko
chori erlejale bat,txori erlejale bat
erleen galgarria,erleen galgarria
irurén ártean eguitenda,iruren artean egitenda
erdian dagoana liſtor,erdian dagoana listor
ta maſallean jotzera,ta masailean jotzera
Ludus alaparumy,Ludus alaparumi
ludus empuſae,ludus enpusae
otſa edo ſoñua gozatzea,otsa edo soinua gozatzea
gozoró ta emequi,gozoro ta emeki
ta leuncho auſtea,ta leuntxo austea
gozoró autſia,gozoro autsia
aberat-,aberat-
pecúnioſos,pekuniosos
pecus,pekus
aver,aber
haver,haber
berengenado,berenjenado
hendedura,hendedura
arracá,arraka
edo beſte ſoñecoric botoitu,edo beste soinekorik botoitu
lotamutu,lotamutu
ertſi,ertsi
jaca hori eſtutu egutizu,jaka hori estutu egutizu
lotú ezázu,lotu ezazu
botonar,botonar
beguiroc,begirok
abetoa,abetoa
embetunar,enbetunar
oitu,oitu
aci,azi
acitú,azitu
oitua,oitua
gzizqui acia,gzizki azia
gaizqu oitua dago,gaizk oitua dago
oitueguia,oituegia
Jndietara bialdu zuten,Jndietara bialdu zuten
norbait norabait ornituric bialdu egorri,norbait norabait orniturik bialdu egorri
bideraco ornitua,biderako ornitua
chit gaizqui ornitua bialdu deie,txit gaizki ornitua bialdu deie
beti dabil ondo ornitua,beti dabil ondo ornitua
talde baten,talde baten
edo erdibaten lapurrá,edo erdibaten lapurra
gay ajutuá,gai ajutua
ezta orretaraco gay,ezta orretarako gai
guſtiraco da,gustirako da
entreg,entreg
gucitaraco ſertua,guzitarako sertua
gayeguia,gaiegia
cintzoeguia,zintzoegia
entregueguia,entregegia
vrlia da cintzotaſun andicoa,urlia da zintzotasun andikoa
gay eguin,gai egin
gay eguindute,gai egindute
gaey eguiña,gaei egina
gayró,gairo
cinzor,zintzor
abatir,abatir
teſtamentu bague,testamentu bage
teſtamenturic eguingabe,testamenturik egingabe
juramentuz,juramentuz
deſerraná,deserrana
elaya andiagoa,elaia andiagoa
leiza,leiza
ondaleceá,ondalezea
leice ondar baguea,leize ondar bagea
leiza ondoric baguea,leiza ondorik bagea
eroria nago,eroria nago
ondatua nago baguetaſunen,ondatua nago bagetasunen
ta nequeen leice batean iñon diran miſerien,ta nekeen leize batean inon diran miserien
ta calte gucien leicean nátza,ta kalte guzien leizean natza
gaiztaquerien leice@bat da,gaiztakerien leize@bat da
Jaincoa da ontaſunaren,Jainkoa da ontasunaren
on gucien leice bat,on guzien leize bat
leizatu,leizatu
leicean ondatu,leizean ondatu
leizatu naiz,leizatu naiz
leicean ondatua,leizean ondatua
ſomindúa egotea,somindua egotea
habitar,habitar
habito,habito
habituar,habituar
avivar,abibar
hablar,hablar
beraatú,beraatu
biguindú,bigindu
bigunduegui,bigunduegi
arriac bigunduco ditu,arriak bigunduko ditu
gogorr dago,gogorr dago
bañan ſamurtuco da,bainan samurtuko da
endulzar,endultzar
enternecer,enternezer
molſo bat da,moltso bat da
guelbera bat da,gelbera bat da
