bat,bat
bialdu,bialdu
par,para
jarri,jarri
era,era
no,noa
ka,ca
biko,bicó
janaritegi,janariteguia
jakitegi,jaquiteguia
arrandegi,arrandeguia
zai,zaya
zain,zaina
aita,aita
nolako,nolacó
jabe,jabeá
lan,lan
jan,jan
hiztun,hiztuna
entzun,enzuna
esale,eſale
entzule,enzule
andre,andre
agintari,aguintaria
badia,badiá
barruti,barrutia
abere,aberé
adar,adár
bakailao,bacallaoá
petxa,pecha
abo,aboá
au,auá
ao,aoá
emate,ematea
zopa,zopá
ito,itoac
eltze,eltzea
edo,edó
katilu,catilluá
estali,eſtali
bera,beraá
arroa,arroa
astindu,aſtindua
purga,purga
artalde,artaldea
eraman,eráman
erautsi,erautſi
sartu,ſartu
beira,beirá
ale,aléac
balio,valio
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
largatu,largatu
utzi,vtzia
ondo,ondo
utzi,vtziá
merketu,merquetú
abark,abarcac
abarka,abarcá
abarka,abarca
egite,eguitea
estutze,eſtutzea
egin,eguin
bai,bay
abere,abéreac
lur,lur
sartze,ſártzea
berritsu,berritſu
ugari,ugari
mukuru,mucuru
naro,naroa
ugari,ugaria
mukuru,mucurua
muru,murua
bete,beté
zuzkitu,zuzquituá
bete,beteá
garbitu,garbitu
trinkatu,trincatu
trinkatu,trincatuá
apaiz,apaiz
lurreratze,lurrerátzea
azpiratu,azpiratua
lurreratu,lurreratua
azpiratzaile,azpiratzallea
lurreratzaile,lurreratzallea
lurreratu,lurreratú
zer,cera
ez,ez
txarkeria,charqueria
jautsi,jautſi
azpiko,azpicoa
goi,goi
gain,gaiñ
beste,beſte
kanpor,campora
erle,erlea
erletxo,erlechoa
erlezain,erlezaina
txori,chori
galgarri,galgarria
listor,liſtorrá
erlabio,erlabioa
joko,jocoa
artean,ártean
listor,liſtorra
ots,otſa
edo,edo
sonu,ſoñua
gozatze,gozatzea
bemol,bemol
gozatu,gozatua
autsi,autſia
betule,betuleac
arrakada,arracadá
jaka,jacá
estutu,eſtutú
lotu,lotú
jaka,jaca
estutu,eſtutu
uztarri,uztarria
lor,lorrá
saie,ſayea
bezatu,bezatú
bezero,beceroa
azitu,acitua
azi,acia
bidaldu,bidaldu
egorri,egorri
beti,beti
idiki,idiquia
idikitu,idiquitua
zabal,zabala
zabaldu,zabaldua
nabar,navarrá
talde,talde
lapur,lapurrá
gai,gay
zintzo,cintzoa
jaio,jayoa
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
urlia,vrlia
zintzotasun,cintzotaſun
zintzotu,cintzotu
zintzotu,cintzotua
egin,eguiña
testamentu,teſtamentu
ezeztatu,ezeztatu
ezeztatze,ezeztatzea
desesan,deſeſaná
sorbeltz,ſorbeltza
elai,elaya
leize,leicea
leize,leice
erori,eroria
kalte,calte
on,on
leizatu,leizatua
egote,egotea
habe,habea
eulitzar,eulitzarrá
bizkotxatu,bizcochatua
samurtu,ſamurtú
ematu,ematú
gelbera,guelbera
uko,ucoa
buru,burua
ukatze,ucatzea
ukatu,ucatú
sargoritu,ſargoritu
sargori,ſargori
gizon,guizona
sukartu,ſucartua
lanberotu,lamberotua
jo,jo
jo,joa
bufetatu,bufetatua
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
eskatu,eſcatú
fabore,favore
etorki,etorquia
boil,bollá
boil,boillá
mailatu,mallatu
koskatu,coſcatu
maliatu,maliatua
mailatu,mallatua
zokondu,zocondua
koskatu,coſcatua
koskatzaile,coſcatzallea
zokon,zocona
koska,coſca
nagats,nagatſa
nazkagarri,nazcagarria
nagagarri,nagagarria
garri,garria
nazka,nazca
bateko,batecoa
nazkatu,nazcatu
pekatu,pecatua
pekatu,pecatuác
eguraldi,eguraldia
ondu,ondu
eman,emán
diru,diru
hur,hurá
eman,eman
gorotzatu,gorotzatua
inaurkindu,iñaurquindua
ontzi,ontzi
alderatze,alderatzea
ertzatu,ertzatua
alderatu,alderatua
alboratu,alboratua
joate,joatea
