LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
bat	bat	bat	bat		bat	bat
batetan	batetan	batetan				
beingoan	beingoan	beingoan				
il	il	il				
dute	dute	dute				
Juan	Juan	Juan				
bialdu	bialdu	bialdu	bialdu		bialdu	bialdu
det	det	det				
Martin	Martin	Martin				
zerka	cerca	cerca				
junto	junto	junto				
en	en	en				
an	an	an				
ateeetan	ateeetan	ateéetan				
dago	dago	dago				
atarian	atarian	atárian				
dgo	dgo	dgo				
surtn	surtn	ſurtn				
para	para	para				par
ezazu	ezazu	ezazu				
sarreran	sarreran	ſárreran				
jarri	jarri	jarri	jarri		jarri	jarri
zan	zan	zan				
ra	ra	ra				
era	era	era	era	era	era	era
etxera	echera	echerá				
noa	noa	noa	no		no	no
errira	errira	errirá				
jatera	jatera	játera				
edatera	edatera	edátera				
ibiltera	ibiltera	ibiltera				
ka	ca	ca			ka	ka
arrika	arrica	arrica				
agaaka	agaaca	agaáca				
zaldika	zaldica	zaldica				
oinka	oinca	oinca				
zaldiz	zaldiz	zaldiz				
onez	onez	oñez				
Cana	Cana	Caná				
biko	bico	bicó	biko		biko	biko
neeurria	neeurria	neéurria				
janaritegia	janariteguia	janariteguia	janaritegi	janaritegi		janaritegi
jakitegia	jaquiteguia	jaquiteguia				jakitegi
arrandegia	arrandeguia	arrandeguia	arrandegi	arrandegi	arrandegi	arrandegi
arategia	arateguia	arateguia				
anaritegiaren	anariteguiaren	anariteguiaren				
zaia	zaya	zaya	zaia	zai		zai
zaina	zaina	zaina	zain		zain	zain
zaitzailea	zaitzallea	zaitzallea				
arakina	araquina	araquiñá				
aratepailea	aratepallea	aratepallea				
arraikina	arraiquina	arraiquiña				
arraiepailea	arraiepallea	arraiepallea				
aita	aita	aita	aita		aita	aita
aundiena	aundiena	aundiena				
dbadea	dbadea	dbadea				
nolako	nolaco	nolacó	nolako		nolako	nolako
jabea	jabea	jabeá	jabe		jabe	jabe
alako	alaco	alacó				
tresnea	tresnea	treſneá				
nondik	nondic	nondic	nondik			
lan	lan	lan	lan		lan	lan
andik	andic	andic				
jan	jan	jan	jan		jan	jan
nola	nola	nola	nola			
da	da	da				
hiztuna	hiztuna	hiztuna	hiztun		hiztun	hiztun
ala	ala	ala	ala			
entzuna	enzuna	enzuna	entzun		entzun	entzun
esale	esale	eſale	esale		esale	esale
entzule	enzule	enzule	entzule		entzule	entzule
andre	andre	andre	andre		andre	andre
monjen	monjen	monjen				
agintaria	aguintaria	aguintaria	agintari		agintari	agintari
lenena	lenena	lenena				
Asbadesa	Asbadesa	Aſbadeſa				
Adbadesea	Adbadesea	Adbadeſeá				
badia	badia	badiá	badia		badia	badia
abadearen	abadearen	abadearen				
barrutia	barrutia	barrutia	barruti	barruti	barruti	barruti
abere	abere	aberé	abere		abere	abere
adar	adar	adár	adar		adar	adar
bakotxa	bacocha	bacocha	bakotx			
bakailaoa	bacallaoa	bacallaoá	bakailao		bakailao	bakailao
petxa	pecha	pecha	petxa		petxa	petxa
aboa	aboa	aboá				abo
