era,era
janaritegi,janariteguia
arrandegi,arrandeguia
biguin,biguña
eratxi,erachi
artze,artzea
naroro,naroro
naro,naroa
zuzkitu,zuzquituá
trinkatu,trincatuá
erlezai,erlezaia
erlezain,erlezaina
erlabio,erlabioa
arrakada,arracadá
estutu,eſtutú
bezatu,bezatú
bezero,beceroa
bigotedun,bigoteduna
zintzo,cintzoa
zintzotasun,cintzotaſuna
zintzotu,cintzotu
zintzotu,cintzotua
zintzoki,cintzoqui
sorbeltz,ſorbeltza
leize,leicea
beltzuntza,belzuntza
eulitzar,eulitzarrá
sargoritu,ſargoritu
sargoritu,ſargoritua
mailatu,mallatu
mailatu,mallatua
nazkagarri,nazcagarria
nazka,nazca
naga,naga
nazkatu,nazcatu
nagatu,nagatu
maltsotu,malſotu
zimaurtu,cimaurtú
zimaurtu,cimaurtua
naroro,naroró
gaitzetsigarri,gaitzetſigarria
bertiztu,bertiztu
bertitz,bertitzá
buiatu,buyatua
otailari,otallaria
jorrail,jorrailla
urratu,urratu
urratu,urratua
zabalkiro,zabalquiro
otzan,otzaná
zolditu,zolditua
deslotu,deslotú
kordebagetu,cordebaguetua
egokiez,egoquieza
amona,amoná
amasaba,amaſaba
amagoi,amagoya
aitona,aitona
aitasaba,aitaſaba
aitagoi,aitagoya
buiatu,buiatua
buiatu,buyatu
ugaritasun,ugaritaſuna
naro,naroá
narotasun,narotaſuna
ugaritsu,ugaritſua
narotsu,narotſua
ugariki,ugariqui
naroki,naroqui
naro,naró
oparo,oparó
astotu,aſtotua
gogaiterazo,gogaiterazo
gogaitarazi,gogaitaraci
noizdanik,noizdanic
bukatu,bucatu
bukatu,bucatua
bukarazi,bucaraci
bukaerazo,bucaerazo
akabaila,acaballá
bukaera,bucaera
ikasola,icaſolá
bilguma,bilgumá
jazo,jazo
gertaera,guertaera
estutu,eſtutua
isildu,iſildu
sutunpa,ſutumpa
moretu,moretua
eraio,erayo
noaski,noaſqui
ausaz,auſaz
ondasundun,ondaſunduna
zuzkitu,zuzquitua
zuzentzaile,zuzentzallea
egiera,eguiera
ibilera,ibillera
zezinatu,ceciñatu
zezinatu,ceciñatua
gazuratu,gazuratú
ozpindu,ozpindua
gazuratu,gazuratua
mineta,minetá
burugabe,burugabea
oliontzi,olioncia
olibo,oliboa
zerba,cerbá
zamarizain,zamarizaina
beregandu,beregandu
astitsu,aſtitſua
igara,igara
errotazai,errotazaya
garlopatu,garlopatu
garlopatu,garlopatua
oniritzi,oniritzia
lats,latſá
altzairuztatu,altzairuztatu
altzairukintza,altzairuquintza
garrazkiro,garrazquiró
gogorkiro,gogorquiró
somatu,ſomatua
txikitu,chiquitu
txikertu,chiquertu
ostertxuri,oſterchuria
txit,chit
kiskaldu,quiſcaldu
txigortu,chigortú
kiskaldu,quiſcaldua
txigortu,chigortua
txoko,choco
lerdatu,lerdatu
noruntz,norunz
garraztu,garraztú
garraztu,garraztua
akzidente,accidente
nagikeria,naguiqueria
ojuka,ojuca
deadarkari,deadarcaria
argiagotu,arguiagotua
desalaitu,deſalaitua
desalaitu,deſalaitu
ostikokari,oſticocaria
erasotzaile,eraſotzallea
artzeera,artzeera
lapurtegi,lapurteguia
maneatu,maneatu
osasundun,oſaſunduna
eraz,éraz
irabedar,irabedarra
izutu,izutu
komutatu,comutatua
komutatu,comutatú
estutu,eſtutu
izutu,izutua
artzatu,artzatu
garrazkiro,garrazquiro
gogorkiro,gogorquiro
bizitasun,vicitaſuna
salatzaile,ſalatzallea
pilatu,pillatua
montoitu,montoitua
pilatzaile,pillatzallea
salaketa,ſalaqueta
salakera,ſalaquera
akusazio,acuſacioa
txukun,chucuna
txukundu,chucundua
aurreratzaile,aurreratzallea
aurrerapen,aurrerapena
akastu,acaſtu
egokiro,egoquiró
dina,diña
maneatu,maneatua
maneatzaile,maneatzalleá
zuzemen,zucemena
hireganatu,hireganatu
natu,natú
zuenganatu,zuenganatu
zuganatu,zuganatua
zuzkitu,zuzquitu
aztiatu,aztiatú
igerle,iguerlea
aurpegiera,aurpeguieraá
aztinantza,aztinanza
asmo,aſmoa
igermen,iguermena
elkarte,elcartea
administratzaile,adminiſtratzallea
begirantza,beguiranza
miragarriro,miragarriro
mirari,miraria
miresle,mireslea
mireskor,mireſcorra
etartu,etartu
etartu,etartua
gaixokor,gaisyocorra
erikor,ericorra
gurte,gurtea
kordebagetu,cordebaguetu
apaintzaile,apaintzallea
jakinez,jaquinéz
aduana,aduaná
txaol,chaolac
zaldabai,zaldabaya
arrazko,arrazcoa
barruti,barrutia
losentxa,loſencha
gaztetu,gaztetua
gaitzegoki,gaitzegoquia
zoli,zoliá
arreta,arreta
senge,ſenguea
arraia,arraia
ezaindu,ezaindua
amodiotsu,amodiotſua
bizargile,bizarguillea
emakumetu,emacumetu
emakumetu,emacumetua
itsatsi,itſatſi
itsatsi,itſatſia
ekarrai,ecarraia
jaiera,jayera
jaiera,jaiera
beregandu,beregandua
maneatzaile,maneatzallea
baieztu,bayeztú
baieztatu,bayeztatú
baieztu,bayeztuá
