bat,bat
bialdu,bialdu
jarri,jarri
era,era
no,noa
biko,bicó
janaritegi,janariteguia
arrandegi,arrandeguia
zaia,zaya
zain,zaina
aita,aita
nolako,nolacó
jabe,jabeá
nondik,nondic
lan,lan
jan,jan
nola,nola
hiztun,hiztuna
ala,ala
entzun,enzuna
esale,eſale
entzule,enzule
andre,andre
agintari,aguintaria
badia,badiá
barruti,barrutia
abere,aberé
adar,adár
bakotx,bacocha
bakailao,bacallaoá
petxa,pecha
au,auá
asnase,aſnaſé
zopa,zopá
ito,itoac
eltze,eltzea
edo,edó
katilu,catilluá
estali,eſtali
bera,beraá
bigun,biguña
arroa,arroa
astindu,aſtindua
purga,purga
artalde,artaldea
eraman,eráman
eroan,eróan
eratxi,erachi
erautsi,erautſi
egotzi,egotzi
sartu,ſartu
beira,beirá
ale,aléac
balio,valio
pelat,pelat
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
utzi,vtzia
ondo,ondo
utzi,vtziá
merke,merqué
ifini,ifini
ifini,ifinia
au,au
barka,barca
abark,abarcac
abarka,abarcá
abarka,abarca
asko,aſcó
egite,eguitea
artze,artzea
asko,aſco
egin,eguin
bai,bay
abere,abéreac
lur,lur
epaki,epaqui
berrizko,berrizco
berritsu,berritſu
batera,baterá
naroro,naroro
ugari,ugari
mukuru,mucuru
naro,naroa
ugari,ugaria
mukuru,mucurua
zuzkitu,zuzquitu
bete,beté
zuzkitu,zuzquituá
bete,beteá
garbitu,garbitu
trinkatu,trincatu
trinkatu,trincatuá
apaiz,apaiz
norbait,norbait
txit,chit
azpiratzaile,azpiratzallea
zera,cera
gera,guera
ez,ez
ni,ni
txarkeria,charqueria
jautsi,jautſi
azpiko,azpicoa
baxo,baxo
goi,goi
gain,gaiñ
beste,beſte
bildur,bildur
erle,erlea
erlezai,erlezaia
erlezain,erlezaina
txori,chori
erlejale,erlejale
galgarri,galgarria
erlabio,erlabioa
joko,jocoa
artean,ártean
edo,edo
gozoro,gozoró
emeki,emequi
bemol,bemol
gozatu,gozatua
arrakada,arracadá
jaka,jacá
botoitu,botoitu
estutu,eſtutú
lotu,lotú
jaka,jaca
hori,hori
estutu,eſtutu
uztarri,uztarria
lor,lorrá
bezatu,bezatú
bezero,beceroa
bidaldu,bidaldu
norabait,norabait
biderako,bideraco
beti,beti
idiki,idiquia
zabal,zabala
zabaldu,zabaldua
nabar,navarrá
talde,talde
lapur,lapurrá
bigotedun,bigoteduna
gai,gay
zintzo,cintzoa
entregu,entregú
ezta,ezta
jaio,jayoa
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
urlia,vrlia
zintzotasun,cintzotaſun
zintzotu,cintzotu
zintzotu,cintzotua
egin,eguiña
zintzoki,cintzoqui
testamentu,teſtamentu
bage,bague
ezeztatu,ezeztatu
zinez,cinez
sorbeltz,ſorbeltza
enada,enada
elai,elaya
leize,leicea
leize,leice
bage,baguea
erori,eroria
batean,batean
inon,iñon
kalte,calte
on,on
beltzuntza,belzuntza
habe,habea
eulitzar,eulitzarrá
samurtu,ſamurtú
ematu,ematú
arri,arriac
banan,bañan
moltso,molſo
gelbera,guelbera
ablatibo,ablativoa
uko,ucoa
bere,bere
buru,burua
ukatu,ucatú
sargoritu,ſargoritu
sargori,ſargori
gizon,guizona
sargoritu,ſargoritua
jo,jo
jo,joa
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
eskatu,eſcatú
fabore,favore
etorki,etorquia
mailatu,mallatu
koskatu,coſcatu
mailatu,mallatua
koskatu,coſcatua
koska,coſca
nazkagarri,nazcagarria
garri,garria
nazka,nazca
naga,naga
bateko,batecoa
nazkatu,nazcatu
nagatu,nagatu
pekatu,pecatua
pekatu,pecatuác
urdakeri,urdaqueriac
de,de
el,el
la,la
eguraldi,eguraldia
ondu,ondu
ongitu,onguitu
maltsotu,malſotu
zimaurtu,cimaurtú
eman,emán
diru,diru
hura,hurá
eman,eman
zimaurtu,cimaurtua
naroro,naroró
