era,era
ka,ca
neurri,néurria
arrandegi,arrandeguia
zain,zaina
aita,aita
abade,abadea
esale,eſale
entzule,enzule
bakailao,bacallaoá
petxa,pecha
eltze,eltzea
bera,beraá
arroa,arroa
astindu,aſtindua
purga,purga
erautsi,erautſi
sartu,ſartu
banderadun,banderaduná
gaizki,gaizqui
utzi,vtzi
largatu,largatu
utzi,vtzia
merketu,merquetú
abark,abarcac
abarka,abarcá
berritsu,berritſu
ugari,ugari
mukuru,mucuru
ugari,ugaria
mukuru,mucurua
bete,beté
bete,beteá
trinkatu,trincatuá
lurreratze,lurrerátzea
azpiratu,azpiratua
lurreratu,lurreratua
lurreratu,lurreratú
zer,cera
jautsi,jautſi
azpiko,azpicoa
erle,erlea
erlezain,erlezaina
bemol,bemol
gozatu,gozatua
arrakada,arracadá
jaka,jacá
estutu,eſtutú
lotu,lotú
uztarri,uztarria
lor,lorrá
bezatu,bezatú
bezero,beceroa
bialdu,bialdu
bidaldu,bidaldu
egorri,egorri
zabaldu,zabaldua
nabar,navarrá
jaio,jayoa
abilidade,abilidadea
gaitasun,gaytaſuna
zintzotasun,cintzotaſuna
zintzotu,cintzotu
zintzotu,cintzotua
ezeztatu,ezeztatu
bat,bat
sorbeltz,ſorbeltza
leize,leicea
habe,habea
samurtu,ſamurtú
ematu,ematú
ablatibo,ablativoa
uko,ucoa
sargoritu,ſargoritu
sukartu,ſucartua
sargoritu,ſargoritua
jo,joa
arteko,artecoa
bitarteko,bitartecoa
ararteko,arartecoa
letradun,letraduna
egin,eguin
mailatu,mallatu
koskatu,coſcatu
mailatu,mallatua
koskatu,coſcatua
koska,coſca
nazkagarri,nazcagarria
nazka,nazca
nazkatu,nazcatu
alboratu,alboratua
gorrotatu,gorrotatu
gaitzetsi,gaitzetſi
gorroto,gorrotoa
gorroto,górrotoa
gorrotatu,gorrotatua
gorrotagarri,gorrotagarria
borta,borta
sortu,ſortua
buiatu,buyatua
ezarri,ezarria
kai,caya
erre,erre
erre,errea
erretzaile,erretzallea
erredura,erredura
laztandu,laztandu
eman,eman
besarkatu,beſarcatu
laztandu,laztandua
besarkatu,beſarcatua
laztan,laztana
arpoi,arpoyac
ego,egoa
abere,abere
laburtu,laburtu
laburtu,laburtua
berotu,berotu
seguru,ſegurua
abrigu,abrigua
bero,beroa
berotasun,berotaſuna
zabaldu,zabaldu
ireki,irequi
