LAR_LEMMA	EGOKITUA	FAILED_MATCH
Abbatiſa	abbatisa	abbatisa
Abahadas ſopas	abahadas sopas	abahadas
Abajar	abajar	abajar
Ablgar	ablgar	ablgar
Abanderizarſe	abanderizarse	abanderizarse
Abanderizados	abanderizados	abanderizados
Abanicarſe	abanicarse	abanicarse
Abno	abno	abno
Aburca	aburca	aburca
Abarcas	abarcas	abarcas
Abatanador	abatanador	abatanador
Abatidor	abatidor	abatidor
Abatire	abatire	abatire
Abaxarſe	abaxarse	abaxarse
Abechucho	abechucho	abechucho
Abejaruco	abejaruco	abejaruco
Abejita	abejita	abejita
Abeñuelas	abeñuelas	abeñuelas
Aberia	aberia	aberia
Andalucia	andalucia	andalucia
Abeſtruz	abestruz	abestruz
Abetunar	abetunar	abetunar
Abezarſe	abezarse	abezarse
Abezado	abezado	abezado
Abiar	abiar	abiar
Abiado	abiado	abiado
Abiar otras vezes ſignifica ſimplemente	abiar otras vezes significa simplemente	abiar
Abierta	abierta	abierta
Abil	abil	abil
Abilidad	abilidad	abilidad
Abilitaràvno	abilitaravno	abilitaravno
Abilitado	abilitado	abilitado
Abilmente	abilmente	abilmente
Abiltar	abiltar	abiltar
Abjuracion	abjuracion	abjuracion
Abion	abion	abion
Abiſmo	abismo	abismo
Abiſmar	abismar	abismar
Abiſmarſe	abismarse	abismarse
Abiſmado	abismado	abismado
Abiſpon	abispon	abispon
Abitar	abitar	abitar
Abituar	abituar	abituar
Abivar	abivar	abivar
Abla	abla	abla
Ablandarſe	ablandarse	ablandarse
Abnegarſe	abnegarse	abnegarse
Abocarſe	abocarse	abocarse
Abochornaſe	abochornase	abochornase
Abogada	abogada	abogada
Aboler	aboler	aboler
Abollador	abollador	abollador
Aboſlonar	aboslonar	aboslonar
Abonador aſsi	abonador asi	abonador
Abordado	abordado	abordado
Aborrir	aborrir	aborrir
Abortones	abortones	abortones
Abrazaderas	abrazaderas	abrazaderas
Abrevia	abrevia	abrevia
Abrigarſe	abrigarse	abrigarse
Abrigarſe	abrigarse	abrigarse
Abrigarſe aſsi	abrigarse asi	abrigarse
Abrirle à vno la cabeza	abrirle a vno la cabeza	abrirle
Envn abrir	envn abrir	envn
Abierta puerta	abierta puerta	abierta
Abierta la cabeza	abierta la cabeza	abierta
Abrojos de fierro	abrojos de fierro	abrojos
Aleſconderſe	alesconderse	alesconderse
Abſconderſe antiquado	absconderse antiquado	absconderse
Abſolutas propoſiciones	absolutas proposiciones	absolutas
Abſorbente en los medicamentos	absorbente en los medicamentos	absorbente
Abſtruſo	abstruso	abstruso
Abuela	abuela	abuela
Abueltas de eſſo	abueltas de eso	abueltas
Abuenas	abuenas	abuenas
Abulta mucho ſus males	abulta mucho sus males	abulta
Abultador	abultador	abultador
Abultaren ſignificacion como neutra	abultaren significacion como neutra	abultaren
Abulta mucho	abulta mucho	abulta
Abulto	abulto	abulto
Aburrado	aburrado	aburrado
Aburrarſe	aburrarse	aburrarse
Aburrimiento	aburrimiento	aburrimiento
Aburrirſe	aburrirse	aburrirse
Abuvilla	abuvilla	abuvilla
Hàciacà	haciaca	haciaca
Lo que faltapara acabalar	lo que faltapara acabalar	lo
Hazerle à vno acabar	hazerle a vno acabar	hazerle
Acaboſe	acabose	acabose
Acabaronſe mis contentos	acabaronse mis contentos	acabaronse
Serìa nunca acabar	seria nunca acabar	seria
Accidit	accidit	accidit
Acalcar	acalcar	acalcar
Acalcado	acalcado	acalcado
Acalcador	acalcador	acalcador
Acallador	acallador	acallador
Acanalador	acanalador	acanalador
Acañaberear	acañaberear	acañaberear
Acañaberearſe	acañaberearse	acañaberearse
