source_id,wikibase_lexeme,p6st
1,L86985,L86985-A388FE69-B6DB-4DB7-8178-4FC53428E15E
2,L86986,L86986-65BEB687-DAE1-4B31-B487-691294202FDA
3,L86987,L86987-542EAE83-DB78-475B-A325-8E8F7EBEE0E2
4,L86988,L86988-CEBDC5FA-10BE-4050-A936-DA5C31F86A74
5,L86989,L86989-64C3A63F-BC2A-4204-A2DA-BA5BC581920B
6,L86990,L86990-B9DE172C-D9B3-4467-9B16-A281E6B650A9
7,L86991,L86991-89A10AE4-919F-4163-845B-AF7309AC3CCF
8,L86992,L86992-2FB585C3-CFC3-4ED8-932F-B02EC16CEC4A
9,L86993,L86993-763EADEF-C1DF-41BD-9604-E5B3A352E0F1
10,L86994,L86994-290C127F-37A4-4DC8-A1AD-A8B85656287C
11,L86995,L86995-CB0C0044-527A-463D-8352-A6A120850C0F
12,L86996,L86996-E7F89ED2-5E3E-4B10-B118-C37ECE36A354
13,L86997,L86997-77134FBA-02B0-4568-B690-0CADD9F9B29A
14,L86998,L86998-878B651E-66BF-4C9F-84ED-B25F153ABF17
15,L86999,L86999-40CE38D1-E075-4105-98AD-B5BBD173308C
16,L87000,L87000-296C9E8E-DC95-492C-8424-780CA071A850
17,L87001,L87001-9B08341B-988D-44FA-A281-90B5DDC9573E
18,L87002,L87002-2CBF3828-508E-485C-AB6E-09B3951347DA
19,L87003,L87003-6C97007F-0A25-4D0B-BD1D-785F1682B320
20,L87004,L87004-C0BF10E7-AD82-4F2D-838D-F414E62DF890
21,L87005,L87005-F4A24572-DF81-4764-A938-19C716A2088E
22,L87006,L87006-FAD13752-2940-4579-A03F-980D0C40E47F
23,L87007,L87007-56D50519-A3F5-4F57-8AD8-4C38334C406E
24,L87008,L87008-A38C1E54-66D8-41C2-8BF2-5501E59A0CF0
25,L87009,L87009-A0772F20-5EFE-4ADE-938A-09B88F34A48E
26,L87010,L87010-18927407-1B16-4DD7-9D40-9851AB236B37
27,L87011,L87011-8E45E8BC-2661-49D1-9207-4985D3960C1E
28,L87012,L87012-70028636-ABB9-4340-BAB8-4FF652F49670
29,L87013,L87013-69FC39AE-A091-4FAD-8C59-0A9430C8E31B
30,L87014,L87014-7FD54E7D-B1F2-4C87-ACCA-0C7C62C1D060
31,L87015,L87015-2B2DFBEC-1FCC-4048-8E57-1DFB1E279FDA
32,L87016,L87016-980E8F6D-7019-4D89-B14F-3EF3FB72B227
33,L87017,L87017-3C8DD1F2-9D3D-43E4-B7A6-EE338E63C032
34,L87018,L87018-EC1A3D7F-9271-4661-B498-A43729479DFA
35,L87019,L87019-1FEDB6A8-8BA9-4D38-839A-1669B5AD4BE2
36,L87020,L87020-2A31353C-5565-4824-8539-2543C29BC23F
37,L87021,L87021-0DF01ABA-BE83-4D2F-A64E-4A30680B4703
38,L87022,L87022-E30066B1-5CD5-4DD3-9CD2-C2387F2D1810
39,L87023,L87023-14EB2C9C-4712-4973-93B3-BD5A7983900D
40,L87024,L87024-4A09CAFF-5790-4F86-BCBB-7202A7897566
41,L87025,L87025-FD513AAE-71D0-41B0-9225-3522B6B985D6
42,L87026,L87026-D6CCDD91-EFF0-439A-A75A-318AE8FF1157
43,L87027,L87027-66834D53-B3C6-48D6-BF1D-7462788409D9
44,L87028,L87028-772A1865-704B-440F-B27E-607D2A008975
45,L87029,L87029-66F89E02-3D78-44D6-9BD3-898E65D9D12C
46,L87030,L87030-6C830118-FD1A-4661-869D-FCE6E093EFBD
47,L87031,L87031-3688A771-6B32-4436-9E5A-515E8915E09C
48,L87032,L87032-976CB0C0-C356-4699-B19D-2C48DDADFD43
49,L87033,L87033-AEB42C27-77CB-42E8-8094-B99F9937B062
50,L87034,L87034-6EBBF8D7-1E07-40F4-9A62-3BD822C217CA
51,L87035,L87035-F61F32C2-E0B9-4C38-B7D6-ACF2B9881376
52,L87036,L87036-7794E195-1756-484C-B420-C3B925DAD1FD
53,L87037,L87037-A8739573-F94B-4F87-A215-56591686A64D
54,L87038,L87038-268EC40A-26C4-48DB-B5F7-C4A75D539F43
55,L87039,L87039-84C76203-18C4-4639-9625-EACBF3B25280
56,L87040,L87040-96BC5688-5CCB-462C-A4D4-752BE4432D3C
57,L87041,L87041-B4A271C4-276A-46B4-88F4-2F8D36A3A8E8
58,L87042,L87042-83BC3CD2-BC1F-4E81-BB14-384A1154CBC8
59,L87043,L87043-0637C424-8680-45CD-A357-EEB9429D42D2
60,L87044,L87044-5FD042E2-BD53-4FEE-A79E-8F555057DB6B
61,L87045,L87045-8CA62445-5A1E-4E9B-9C4A-E9C36F1F2CE9
62,L87046,L87046-8431EDEE-C414-4345-92DB-9A94E2306C2B
63,L87047,L87047-020BA068-7DC4-41DB-9E2E-BE0AA9C079D7
64,L87048,L87048-A2A95C8F-59D0-4ECF-85CF-A89CF6729158
65,L87049,L87049-1DEF6BCC-CE08-4793-ABC2-F92E3E081BDD
66,L87050,L87050-EC3464F5-9FB1-40BB-BA4E-F42E1CBB8776
67,L87051,L87051-7144A047-D6F9-4629-B676-96B9F2A711A6
68,L87052,L87052-2FA6444F-F4E8-4D44-867E-B34E938BCA9C
69,L87053,L87053-43BF4E67-DAEC-4162-BB88-1403D9121515
70,L87054,L87054-5D05C6D7-B578-47EF-B0F9-FF594F036171
71,L87055,L87055-E76B6572-4F31-4FB2-B253-F96190EEF2E6
72,L87056,L87056-BE69FA66-58C2-41C7-9BDD-FEDCDF32B4AF
73,L87057,L87057-6F0D32BB-E8FE-4781-ADEF-1F2797270DF3
74,L87058,L87058-8730AEA6-E7D4-406D-8B9F-622D7FFB4E68
75,L87059,L87059-85FBD34A-ECC8-4F4A-B6E0-7E16BE86335B
76,L87060,L87060-F36B68A0-2CAE-4CEE-B3A9-232B89EAA133
77,L87061,L87061-9CE82B51-656F-47D8-934D-1A0E3B034BD1
78,L87062,L87062-50690091-196B-49F9-B4F4-DEB670C751EE
79,L87063,L87063-974955E4-9134-4C67-AA8E-901EF566B4C4
80,L87064,L87064-A2587BE7-A44B-4D6D-9FC4-0F9AFDC6B2E5
81,L87065,L87065-6F4F445C-9480-40AF-A386-52FBD154E1AE
