id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
1	A, a:	a	NOUN	lemma/90942	ONE	NULL
2	ā, ab, abs,	a	NULL	lemma/86824,lemma/90942,lemma/90943	*many*	NULL
3	abactus, -a, -um:	abactus	ADJ	hypolemma/65	ONE	NULL
4	abacus, -i,	abacus	NOUN	lemma/86829	ONE	NULL
5	abaliēnātio, -ōnis,	abalienatio	NOUN	lemma/86839	ONE	NULL
6	abaliēno	abalieno	NULL	lemma/86840	*one*	NULL
7	abavunculus, -i,	abauunculus	NOUN	lemma/86851	ONE	NULL
8	abavus, -i,	abauus	NOUN	lemma/86852	ONE	NULL
9	abbrevio	abbreuio	NULL	lemma/86856	*one*	NULL
10	abdicatio, -ōnis,	abdicatio	NOUN	lemma/86857	ONE	NULL
11	abdico	abdico	NULL	lemma/86860,lemma/86861	*many*	NULL
12	abdīco, -dixi, -dictum	abdico	VERB	lemma/86860,lemma/86861	MANY	NULL
13	abdidi	abdidi	NULL	lemma/86865	*one*	NULL
14	abditē	abdite	NULL	hypolemma/115516	*one*	NULL
15	abditus, -a, -um:	abditus	ADJ	hypolemma/30	ONE	NULL
16	abdo, -didi, -ditum	abdo	VERB	lemma/86865	ONE	NULL
17	abdōmen, -inis,	abdomen	NOUN	lemma/86866	ONE	NULL
18	abdūco, -duxi, -ductum	abduco	VERB	lemma/86867	ONE	NULL
19	abēgi	abegi	NULL	lemma/86895	*one*	NULL
20	abeo, -ii, -itum	abeo	VERB	lemma/86873	ONE	NULL
21	abequito	abequito	NULL	lemma/86874	*one*	NULL
22	aberro	aberro	NULL	lemma/86876	*one*	NULL
23	abeuntis	abeuntis	NULL	lemma/86873	*one*	NULL
24	abhinc:	abhinc	NULL	lemma/86879	*one*	NULL
25	abhorreo, -uī	abhorreo	NOUN	lemma/86880	*one*	NULL
26	abicio	abicio	NULL	lemma/86884	*one*	NULL
27	abiēci	abieci	NULL	lemma/86884	*one*	NULL
28	abiectio, -ōnis,	abiectio	NOUN	lemma/86885	ONE	NULL
29	abiectus, -a, -um:	abiectus	ADJ	hypolemma/54	ONE	NULL
30	abiegnus, -a, -um:	abiegnus	ADJ	lemma/86886	ONE	NULL
31	abiens	abiens	NULL	hypolemma/107078,hypolemma/107081,hypolemma/110489	*many*	NULL
32	abiēs, -etis,	abies	NOUN	lemma/26190,lemma/86888	MANY	NULL
33	abigo, -ēgi, -actum	abigo	VERB	lemma/26192,lemma/86895	MANY	NULL
34	abii	abii	NULL	lemma/5275	*one*	NULL
35	abitus, -ūs,	abitus	NOUN	lemma/91167	ONE	NULL
36	abiūdico	abiudico	NULL	lemma/86899	*one*	NULL
37	abiungo, -iunxi, -iunctum	abiungo	VERB	lemma/86901	ONE	NULL
38	abiūro	abiuro	NULL	lemma/86905	*one*	NULL
39	ablātus, -a, -um:	ablatus	ADJ	hypolemma/3871	ONE	NULL
40	ablēgo	ablego	NULL	lemma/86916	*one*	NULL
41	abligu(r)rio	abligurrio	NULL	lemma/86919	*one*	NULL
42	ablūdo	abludo	NULL	lemma/86924	*one*	NULL
43	abluo, -lūi, -lūtum	abluo	VERB	lemma/91082	ONE	NULL
44	abnego	abnego	NULL	lemma/86934	*one*	NULL
45	abnormis, -e:	abnormis	NOUN	lemma/86940	*one*	NULL
46	abnuo, -nui, —	abnuo	VERB	lemma/86946	ONE	NULL
47	aboleo, -ēvi, -itum 2	aboleo	VERB	lemma/86951	ONE	NULL
48	abolesco, -ēvi, —	abolesco	VERB	lemma/88756	ONE	NULL
49	abolēvi	aboleui	NULL	lemma/86951,lemma/88756	*many*	NULL
50	abolitio, -ōnis,	abolitio	NOUN	lemma/86952	ONE	NULL
51	abōminor	abominor	NULL	lemma/86957	*one*	NULL
52	aborigines, -um,	aborigines	NOUN	lemma/26295	ONE	NULL
53	abortus, -ūs,	abortus	NOUN	lemma/86965	ONE	NULL
54	abrādo, -rāsi, -rāsum	abrado	VERB	lemma/86971	ONE	NULL
55	abreptus, -a, -um:	abreptus	ADJ	hypolemma/166	ONE	NULL
56	abripio, -ripui, -reptum	abripio	VERB	lemma/86978	ONE	NULL
57	abrōdo, -rōsi, -rōsum	abrodo	VERB	lemma/86979	ONE	NULL
58	abrogo	abrogo	NULL	lemma/86981	*one*	NULL
59	abrōsi	abrosi	NULL	lemma/86979	*one*	NULL
60	abrōsus, -a, -um:	abrosus	ADJ	hypolemma/169	ONE	NULL
61	abrumpo, -rūpi, -ruptum	abrumpo	VERB	lemma/86983	ONE	NULL
62	abrūpi	abrupi	NULL	lemma/86983	*one*	NULL
63	abruptus, -a, -um:	abruptus	ADJ	hypolemma/177	ONE	NULL
64	abs	abs	NULL	lemma/86824	*one*	NULL
65	abscēdo, -cessi, -cessum	abscedo	VERB	lemma/86985	ONE	NULL
66	abscessi	abscessi	NULL	lemma/86985	*one*	NULL
67	abscessus, -a, -um:	abscessus	ADJ	hypolemma/93387	ONE	NULL
68	abscessus, -ūs,	abscessus	NOUN	lemma/86999	ONE	NULL
69	abscīdi	abscidi	NULL	lemma/26368,lemma/86987,lemma/86988	*many*	NULL
70	abscidi	abscidi	NULL	lemma/26368,lemma/86987,lemma/86988	*many*	NULL
71	abscīdo, -cidi, -cīsum	abscido	VERB	lemma/86987	ONE	NULL
72	abscindo, -scidi, -scissum	abscindo	VERB	lemma/86988	ONE	NULL
73	abscīsus, -a, -um:	abscisus	ADJ	hypolemma/182	ONE	NULL
74	abscissus, -a, -um:	abscissus	ADJ	hypolemma/185	ONE	NULL
75	abscondo, -condi, -conditum	abscondo	VERB	lemma/86994	ONE	NULL
76	absens, -sentis:	absens	NOUN	lemma/14868,lemma/26387	*many*	NULL
77	absentia, -ae,	absentia	NOUN	lemma/87024	ONE	NULL
78	absimilis, -e:	absimilis	NOUN	lemma/87005	*one*	NULL
79	absinthium, -i,	absinthium	NOUN	lemma/88231	ONE	NULL
80	absisto, -stiti	absisto	NOUN	lemma/87008	*one*	NULL
81	absolūtio, -ōnis,	absolutio	NOUN	lemma/87013	ONE	NULL
82	absolūtōrius, -a, -um:	absolutorius	ADJ	lemma/87016	ONE	NULL
83	absolūtus, -a, -um:	absolutus	ADJ	hypolemma/228	ONE	NULL
84	absolvo, -solvi, -solūtum	absoluo	VERB	lemma/87018	ONE	NULL
85	absonus, -a, -um:	absonus	ADJ	lemma/87020	ONE	NULL
86	absorbeo, -bui, —	absorbeo	VERB	lemma/87021	ONE	NULL
87	absque	absque	NULL	lemma/87023	*one*	NULL
88	abstēmius, -a, -um:	abstemius	ADJ	lemma/87025	ONE	NULL
89	abstergeo, -tersi, -tersum 2	abstergeo	VERB	lemma/87027	ONE	NULL
90	abstersi	abstersi	NULL	lemma/87027,lemma/89375	*many*	NULL
91	abstersus, -a, -um:	abstersus	ADJ	hypolemma/239,hypolemma/242	MANY	NULL
92	abstinens, -entis:	abstinens	NOUN	hypolemma/252	*one*	NULL
93	abstinentia, -ae,	abstinentia	NOUN	lemma/87030	ONE	NULL
94	abstineo, -tinui, -tentum	abstineo	VERB	lemma/87031	ONE	NULL
95	abstiti	abstiti	NULL	lemma/26428,lemma/87008	*many*	NULL
96	absto, —, —	absto	VERB	lemma/26419,lemma/87032	MANY	NULL
97	abstractus, -a, -um:	abstractus	ADJ	hypolemma/256	ONE	NULL
98	abstraho, -traxi, -tractum	abstraho	VERB	lemma/87035	ONE	NULL
99	abstraxi	abstraxi	NULL	lemma/87035	*one*	NULL
100	abstrūdo, -trūsi, -trūsum	abstrudo	VERB	lemma/87036	ONE	NULL
101	abstuli	abstuli	NULL	lemma/87039,lemma/90671	*many*	NULL
102	absum, āfui, —	absum	VERB	lemma/87040	ONE	NULL
103	absūmo, -sumpsi, -sumptum	absumo	VERB	lemma/87042	ONE	NULL
104	absurdus, -a, -um:	absurdus	ADJ	lemma/87045	ONE	NULL
105	abundē	abunde	NULL	hypolemma/277	*one*	NULL
106	abundo	abundo	NULL	lemma/87053	*one*	NULL
107	abūtor, -ūsus	abutor	NOUN	lemma/87058	*one*	NULL
108	ac	ac	NULL	lemma/90490	*one*	NULL
109	acalanthis, -idis,	acalanthis	NOUN	lemma/87060	ONE	NULL
110	acanthus, -i,	acanthus	NOUN	lemma/87068	ONE	NULL
111	accēdo, -cessi, -cessum	accedo	VERB	lemma/87084,lemma/87112	MANY	NULL
112	accelero	accelero	NULL	lemma/87087	*one*	NULL
113	accendo, -cendi, -censum	accendo	VERB	lemma/87089	ONE	NULL
114	accensus, -a, -um:	accensus	ADJ	hypolemma/312,hypolemma/315	MANY	NULL
115	accensus, -i,	accensus	NOUN	lemma/91060	ONE	NULL
116	accentus, -ūs,	accentus	NOUN	lemma/91169	ONE	NULL
117	accēpi	accepi	NULL	lemma/87119	*one*	NULL
118	acceptio, -ōnis,	acceptio	NOUN	lemma/87100	ONE	NULL
119	acceptus, -a, -um:	acceptus	ADJ	hypolemma/343	ONE	NULL
120	accerso	accerso	NULL	lemma/89811	*one*	NULL
121	accessi	accessi	NULL	lemma/87084	*one*	NULL
122	accesio, -ōnis,	accesio	NOUN	NULL	ZERO	NULL
123	accessus, -a, -um:	accessus	ADJ	hypolemma/306,hypolemma/93480	MANY	NULL
124	accessus, -ūs,	accessus	NOUN	lemma/87083	ONE	NULL
125	accido, -cidi, —	accido	VERB	lemma/87112,lemma/87113	MANY	NULL
126	accīdo, -cīdi,- cīsum	accido	VERB	lemma/87112,lemma/87113	MANY	NULL
127	accinctus, -a, -um:	accinctus	ADJ	hypolemma/337	ONE	NULL
128	accingo, -cinxi, -cinctum	accingo	VERB	lemma/87116	ONE	NULL
129	accinxi	accinxi	NULL	lemma/87116	*one*	NULL
130	accio, -cīvi, -cītum	accio	VERB	lemma/87118	ONE	NULL
131	accipio, -cēpi, -ceptum	accipio	VERB	lemma/87119	ONE	NULL
132	accipiter, -tris,	accipiter	NOUN	lemma/87120	ONE	NULL
133	acclāmo	acclamo	NULL	lemma/87127	*one*	NULL
134	acclīnis, -e:	acclinis	NOUN	lemma/87131	*one*	NULL
135	acclīno	acclino	NULL	lemma/87132	*one*	NULL
136	acclīvis, -e:	accliuis	NOUN	lemma/87134	*one*	NULL
137	accola, -ae,	accola	NOUN	lemma/87137	ONE	NULL
138	accolo, -colui, -cultum	accolo	VERB	lemma/87139	ONE	NULL
139	accommodo	accommodo	NULL	lemma/87143	*one*	NULL
140	accrēdo, -didi, -ditum	accredo	VERB	lemma/87146	ONE	NULL
141	accrēvi	accreui	NULL	lemma/87148	*one*	NULL
142	accresco, -crēvi, -crētum	accresco	VERB	lemma/87148	ONE	NULL
143	accrētus, -a, -um:	accretus	ADJ	hypolemma/385	ONE	NULL
144	accubitus, -a, -um:	accubitus	ADJ	hypolemma/395	ONE	NULL
145	accubo, —, —	accubo	VERB	lemma/87156	ONE	NULL
146	accubui	accubui	NULL	lemma/87159	*one*	NULL
147	accumbo, -cubui, -cubitum	accumbo	VERB	lemma/87159	ONE	NULL
148	accūro	accuro	NULL	lemma/87165	*one*	NULL
149	accurro, -(cu)curri, -cursum	accurro	VERB	lemma/87166	ONE	NULL
150	accūso	accuso	NULL	lemma/87175	*one*	NULL
151	acer, -eris,	acer	NOUN	lemma/167084,lemma/26759,lemma/26760,lemma/87182	MANY	NULL
152	ācer, acris, acre:	acer	ADJ	lemma/87184	ONE	NULL
153	acerbitās, -ātis,	acerbitas	NOUN	lemma/87188	ONE	NULL
154	acerbo	acerbo	NULL	lemma/87190	*one*	NULL
155	acerbus, -a, -um:	acerbus	ADJ	lemma/87191	ONE	NULL
156	acernus, -a, -um:	acernus	ADJ	lemma/87192	ONE	NULL
