id	qid	text
1	L86985	A, a: alfabetoko 1. letra. —A. [labur.]: Aulo (Aulus); urtea (annus);AUC: hiria [Erroma] sortu zenetik (ab urbe condita),hiria [Erroma] sortu zen urtean(anno urbis conditae).
2	L86986	ā, ab, abs, prep. abl.: -tik, -(en)gandik. Banantzea edo urruntzea da funtsezko zentzua, eta gainerako esanahiak hortik eratorriak dira. 1. Banantzea, urruntze fisikoa nahiz morala, gabezia edo gabetzea: a corpore animus abstractus: gorputzetik bereizitako arima; ab illo egredior: haren etxetik ateratzen naiz; liber a metu: beldurrik gabea; ab amicis inops: lagunik gabea; ab urbe abesse: hiritik kanpo izan; a laboribus refici: suspertu, lanetatik atseden hartu. 2. Distantzia: positis castris a milibus passuum quindecim: kanpamentua hamabost miliara jarrita. 3. Gertutasuna, segida: prope a muris: harresietatik gertu; ab his populis sunt vastae solitudines: bakarleku handiak daude herri hauetatik harago; maxillares, quae sunt a caninis: letaginen ondoren datozen haginak; alter ab undecimo: hamabigarren; nuper a silva elephanti: beren basoetatik atera berri dituzten elefanteak; ab imbre: euria atertu eta berehala. 4. Abiapuntua, jatorria: a potu prandium incipere: edariarekin hastea bazkaltzen; a vespere consurgunt venti: mendebaldetik datoz haizeak; ab hora tertia: hirugarren ordutik, goizeko bederatzietatik; omnes a Belo: Beloren ondorengo guztiak; a teneris unguiculis: umetatik; ab integro: berriro, erabat; ab Ianiculo ad Apollinis (aedem): Janikulutik Apoloren tenplura;a Romanis tubā cecinerunt: tronpeta jo zuten erromatarren aldean; ab Arcadia: Arkadiatik; a sanguine Troiano: troiar odoleko; ab aliquo audire: norbaiti entzun, norbaiti esan; ab intestato: testamenturik gabe; a parentibus effingere mores: gurasoen ohiturak hartu; ab illo friget: hotz dago harekin konparatuta; a summo plenus: goraino betea. 5. Kausa, modua, pertsona agentea: ab ira interfectae stationis: guardiako taldea hiltzeak eragindako amorruarengatik; ab amore: pasioagatik; ab aliquo interfici: norbaitek hil; crimine ab uno disce omnes: guztiak epaitu kriminal bategatik; a natura: a doctrina instructus minime: zientziarik eta dohain naturalik gabea; occidit ab Achille: Akilesek hil zuen; ab aliquo integer: inork kalterik egin ez diona; a morbo valui: sendatu egin naiz [gaixoalditik]; regio torrida ab igne: eguzkiak kiskalitako lurraldea; a Romulo Roma dicitur: Erromaren izena Romulotik eratorria da; casus saepe exsultantem perculit ab abiecto: garaituaz baliatzen da maiz zoria, garailea menderatzeko; ut ab Egnatio solvat: Egnaziok zor dionetik askatzeko, Egnaziok zor diona ordaintzeko; a se dividebat nummos: bere ondasunetako dirua banatzen zuen. 6. Partea: unus a novissimis: azkenetako bat. 7. Harremana, mesedea, lotura: puer a nobis est: esklabo hau gure etxekoa da; ab reo dicere: erruduna defendatzeko hitz egin; erat ab Aristotele: Aristotelesen laguna, dizipulua zen; qui sunt ab Isocrate: Isokratesen imitatzaileak, jarraitzaileak; sentire ab aliquo: norbaitek bezala pentsatzea; a senatu et bonorum causa stare: senatuaren eta gizon onen interesen alde agertzea; servus a pedibus: lekaio; a rationibus: intendente; ab epistulis: idazkari; a studiis: irakasle.
3	L86987	abactus, -a, -um: pp., ikus abigo
4	L86988	abacus, -i, m.: mahai, ohol, taula.
5	L86989	abaliēnātio, -ōnis, f.: besterentze.
6	L86990	abaliēno1: besterendu, gabetu.
7	L86991	abavunculus, -i, m.: herenaitona, arbaso.
8	L86992	abavus, -i, m.: herenaitona, arbaso.
9	L86993	abbrevio1: laburtu.
10	L86994	abdicatio, -ōnis, f.: abdikazio, dimisio.
