testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	testuingurua
puztua	puztu	puztua	https://monumenta.wikibase.cloud/wiki/Lexeme:L67896	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
ero	ero	ero	https://monumenta.wikibase.cloud/wiki/Lexeme:L22062	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
garbi	garbi	garbi	https://monumenta.wikibase.cloud/wiki/Lexeme:L29203	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
garbi	garbi	garbi	https://monumenta.wikibase.cloud/wiki/Lexeme:L29203	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	Eta dolore cruelac! ha min gogorrac! nola atrevitzen cerate biotz garbi, biguiñ hori, azaletic ere uquitzera? nola etzoazte beste alde batera? eztira ausaz munduan biotz pecatariac, ondo mereci zaituztenac? Oñace itsu garratzac, larga-eguiozue biotz gaitzbaguedun orri: billa itzazue burnizco biotzac, gaitzez beteric daudenac.
buztan	buztan	buztan	https://monumenta.wikibase.cloud/wiki/Lexeme:L15759	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
latz	latz	latz	https://monumenta.wikibase.cloud/wiki/Lexeme:L48195	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
latz	latz	latz	https://monumenta.wikibase.cloud/wiki/Lexeme:L48195	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	Non da zeure seme bacarra? non zeure argui, zeure asnase, zeure bicia? Ote da gurutzean dagoan gorputz itsusi beztu hura? Oi eta hori orrela baldin bada, cein ur, ta sa- mur jarioco zaizcan negarrac bere beguietatic gueure erreguiñari! ô mocadera, lienzo churi alaco negar tantaz beté ta üanditu ciñatenac! norc emango liquet zuetatic bat, nere ezpañac uquitzeco, ta Virgiñaren negar inocenteaquin, gaitzbagueacquin, nere negar pecatariac nastutzeco? Cein dan latz eta gogor nere egungo bear gaya! ecin hitzic eguin daguiquet, graciac ezpadit laguntzen: ta eztet hura billatzeco nora nere burua irauli.
latz	latz	latz	https://monumenta.wikibase.cloud/wiki/Lexeme:L48195	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	Oi eta amaren errayac, alaco eranzuera aditu ceueenac! ô bone Jesu, erruquiz ta deadarrez dio emen San Chrisostomoc, ô Jesus ona, ezteu beste icenic, ez beste icengoitiric andre doloreetaco orrec? hizcho bat escatu dizu, ta eranzuten diozu aiñ latz ta garratz?
latz	latz	latz	https://monumenta.wikibase.cloud/wiki/Lexeme:L48195	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	Ez Eleiza santea, eztira Juduac, christauac derizte: eztira demonioac, arenac bai; eztira abereac, bai aec baño latz gogorragoac.
nondic	nondik	nondik	https://monumenta.wikibase.cloud/wiki/Lexeme:L58121	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
hiri	hiri	hiri	https://monumenta.wikibase.cloud/wiki/Lexeme:L36587	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#2	Chori-buru, puztua, Ero, garbi, buztan, latz, Nondic, hiri, ciquiñ, orrí, Becaitz, aldia, eldu, zac? Eztec, berdiñ, iguerrico, Hitz, oy-etan, cer, datzan.
