testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
abantailla	abantaila	abantaila	https://monumenta.wikibase.cloud/wiki/Lexeme:L193	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##193	... bertzetarik 	abantailla	 darama: halaber da anderetan ni penatzen ...
abantallan	abantailan	abantaila	https://monumenta.wikibase.cloud/wiki/Lexeme:L193	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##287	... da; izterbegi duien oro nitan bedi gaztiga; 	abantallan	 dabilela ahal bailedi segura; daitza apart ...
abanzatzeko	abantzatzeko	abant	https://monumenta.wikibase.cloud/wiki/Lexeme:L191	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##3	... eta jinen direnek gero duten kausa oboro haren 	abanzatzeko	 eta obligato giren guziak Jeinkoari otoitz ...
abastu	abastu	abastu	https://monumenta.wikibase.cloud/wiki/Lexeme:L252	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##135	... konplitu, ororenzat bera baita, leial dela, 	abastu	. ...
abastu	abastu	abastu	https://monumenta.wikibase.cloud/wiki/Lexeme:L252	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##208	... dizit pintatu; ene buruia ziaidazu harendako 	abastu	. ...
abataturik	abataturik	abatatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L256	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##2	... hon dela. Eta kausa honegatik gelditzen da 	abataturik	, ezein reputazione bage, eta bertze nazione ...
abil	abil	abil	https://monumenta.wikibase.cloud/wiki/Lexeme:L417	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##2	... baskoak baitira 	abil	, animos eta jentil, eta hetan izan baita, eta ...
abisatzen	abisatzen	abisa	https://monumenta.wikibase.cloud/wiki/Lexeme:L435	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##269	... zuri hain segurki; bertzerik nitan ez dukezu 	abisatzen	 zitut nik; hazte zoroa nizan arren, enukezu ...
abokatzen	abokatzen	abo	https://monumenta.wikibase.cloud/wiki/Lexeme:L451	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##48	... Arartekoak faltaturen, kontra juje handia; 	abokatzen	 ez dakike ehork haren gortian, ogen oro ...
absolbatzen	absolbatzen	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##64	... ez apezpikuk ez etare aita sainduk 	absolbatzen	 halakoaren ezein botererik ez du; Jangoikoa ...
adarrez	adarrez	adar	https://monumenta.wikibase.cloud/wiki/Lexeme:L571	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##211	... beharrez; gogoan behar handi dizit bete nuien 	adarrez	. ...
adbokata	adbokata			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##109	...zeru eta lur ororen erregina dignia, bekatoren 	adbokata	 eta konfortaria! ...
