testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	token_zbk	testuingurua-ezker	testu-hitza	eskuin-testuingurua
abantailla	abantaila	abantaila	https://monumenta.wikibase.cloud/wiki/Lexeme:L193	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#193	4550	... Artizarrak bertzetarik	abantailla	darama : @ halaber da anderetan ni penatzen ...
abantallan	abantailan	abantaila	https://monumenta.wikibase.cloud/wiki/Lexeme:L193	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#287	6195	... izterbegi duien oro nitan bedi gaztiga ; @	abantallan	dabilela ahal bailedi segura ; @ daitza apart ...
abanzatzeko	abantzatzeko	abant	https://monumenta.wikibase.cloud/wiki/Lexeme:L191	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#3	199	... eta jinen direnek gero duten kausa oboro haren	abanzatzeko	eta obligato giren guziak Jeinkoari otoitz egitera , ...
abastu	abastu	abastu	https://monumenta.wikibase.cloud/wiki/Lexeme:L252	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#135	3140	... @ ororenzat bera baita , leial dela ,	abastu	. ...
abastu	abastu	abastu	https://monumenta.wikibase.cloud/wiki/Lexeme:L252	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#208	4863	... dizit pintatu ; @ ene buruia ziaidazu harendako	abastu	. ...
abataturik	abataturik	abatatu	https://monumenta.wikibase.cloud/wiki/Lexeme:L256	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#2	80	... hon dela . Eta kausa honegatik gelditzen da	abataturik	, ezein reputazione bage , eta bertze nazione ...
abil	abil	abil	https://monumenta.wikibase.cloud/wiki/Lexeme:L417	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#2	31	... Zeren baskoak baitira	abil	, animos eta jentil , eta hetan izan ...
abisatzen	abisatzen	abisa	https://monumenta.wikibase.cloud/wiki/Lexeme:L435	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#269	5784	... hain segurki ; @ bertzerik nitan ez dukezu	abisatzen	zitut nik ; @ hazte zoroa nizan arren ...
abokatzen	abokatzen	abo	https://monumenta.wikibase.cloud/wiki/Lexeme:L451	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#48	1117	... Arartekoak faltaturen , kontra juje handia ; @	abokatzen	ez dakike ehork haren gortian , @ ogen ...
absolbatzen	absolbatzen	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#64	1417	... Apezek ez apezpikuk ez etare aita sainduk @	absolbatzen	halakoaren ezein botererik ez du ; @ Jangoikoa ...
adarrez	adarrez	adar	https://monumenta.wikibase.cloud/wiki/Lexeme:L571	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#211	4944	... ; @ gogoan behar handi dizit bete nuien	adarrez	. ...
adbokata	adbokata			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#109	2526	... eta lur ororen erregina dignia , @ bekatoren	adbokata	eta konfortaria ! ...
adbokatu	adbokatu			https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#86	1979	... , poeta eta doktoriak , @ prokurador ,	adbokatu	, juje eta notariak ? @ Ordu hartan ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#11	345	... Arratsian etzitian gomend	adi	Jeinkoari @ eta otoi begir ezan peril guzietarik ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#11	357	... peril guzietarik ; @ gero irazar adinian orit	adi	bertarik @ zenbait ere orazione erraitera debotki . ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#13	367	... Albadagik joan	adi	elizara goizian , @ Jeinkoari han gomenda bere ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#15	393	... Hilez untsa orit	adi	ilherrian sartzian , @ hi nolako ziradela bizi ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#21	471	... Kruzifika ikus eta orit	adi	orduian @ nola izan redemitu haren odol sainduiaz ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#43	982	... Orit	adi	nola duian egin anitz bekatu , @ heien ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#44	1013	... Orit	adi	Jengoikoaren majestate handiaz @ zeruia , lurra , ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#46	1062	... Orit	adi	Jeinkoaren justizia handiaz , @ nola orok behar ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae#141	3290	... onsa jalgi dagia , @ onsa hari gomend	adi	, nik diosat egia : @ finian ere ...
