testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
abarraquituac	abarrakituak	abarrakitu	https://monumenta.wikibase.cloud/wiki/Lexeme:L233	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##12	... lauridiquituac, besteac beren ezur gucietan 	abarraquituac	, ceatuac , zatituac; eta ecin conta lequizquean ...
aberasten	aberasten	aberaste	https://monumenta.wikibase.cloud/wiki/Lexeme:L326	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... ta gaiztaquerian bicitua baliz bezala: guciac 	aberasten	 cituena, iltze gogorrez lapur biren artean zur ...
aberats	aberats	aberats	https://monumenta.wikibase.cloud/wiki/Lexeme:L329	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##9	... gurasoac zor eztie beren semeai, 	aberats	, eder, sendo, osasun onecoac izatea; cerren ...
abere	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... gucietan isuria, ta borrero latzen oñazpietan, 	abere	 batena baliz bezala. Miia gueldi ta isil, ...
abere	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##19	... daudenac. Juduac izango dira orreec, deabruac, 	abere	 basotiarrac. Ez Eleiza santea, eztira Juduac, ...
abereac	abereak	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##19	... derizte: eztira demonioac, arenac bai; eztira 	abereac	, bai aec baño latz gogorragoac....
aberé	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##19	... eguingo ez leuqueana? ez lizateque guizona, bai 	aberé	, bai zembor, bai arcaitzen bat. Baña Eleiza ...
abner	abner	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##20	... Quendu cigon bicia Joab capitanac modu gaistoz 	Abner	 ceritzan bati: ta ara non bereala Israel gucian ...
abner	abner	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##20	... berac lagundu ta jarraitu nai izandu cituen 	Abner	 zanaren catauac, edo ...
abnerren	abnerren	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##20	... janci citezela cilicioz, eta ceguitela negar 	Abnerren	 ...
acaba	akaba			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... edertasunac? eta il bear ceuanean, ecin bestela 	acaba	 citequean neure erreyetaco seme bacarra? Ay ...
acabera	akabera	akabera	https://monumenta.wikibase.cloud/wiki/Lexeme:L1712	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... nola ifiñi zaituzten Adanen humeac! onelaco 	acabera	 bear ceuen asiera aiñ ederrac? pagu au mereci ...
aci	azi	azi	https://monumenta.wikibase.cloud/wiki/Lexeme:L8411	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... hori da zeure ama, aiñ ondo 	aci	 cinduena, ain gozo bere bularrez bazcatu ...
ad	ad			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##22	... artean graciaz, ta guero ceruan gloriaz. 	Ad	 quam nos perducat ...
