LAR_LEMMA	EGOKITUA	SARASOLA
amodiozco prenda	amodiozko prenda	0
becaiztu	bekaiztu	bekaiztu
bezatú	bezatú	0
bilotsua	bilotsua	bilotsu
gocicoá	gozikoá	0
iegia	iejia	0
ivdartia	iudartia	0
izquiratza	izkiratza	0
oitezquiña	oitezkina	0
oquer	oker	oker
orronz ononzibilli	orrontz onontzibili	0
parquidezgarria	parkidezgarria	0
sayespeac erabilli	saiespeac erabili	0
zamarian	zamarian	0
zla B	zla B	0
á	á	0
aacalá	aakalá	0
aacalcorra	aakalkorra	0
aacaldua	aakaldua	0
aadala	aadala	0
aaigarria	aaigarria	0
aaillaz otta	aailaz otta	0
aaitezgarriro	aaitezgarriro	0
aantal	aantal	0
aar	aar	0
aárra	aárra	0
aata	aata	0
aatea	aatea	0
abadea	abadea	abade
abadearen barruatia	abadearen barruatia	0
abadecharra	abadetxarra	0
abadejo	abadejo	0
abadetarra	abadetarra	0
abaillaria	abailaria	0
abalcizqueta	abaltzizketa	0
abalia	abalia	0
aballada	abailada	0
aballaria	abailaria	0
abanico	abaniko	0
abaninoa	abaninoa	0
abarcac	abarkak	0
abarca ezpartuzcoa	abarka ezpartuzkoa	0
abarcatu	abarkatu	0
abarizqueta	abarizketa	0
abarrac	abarrak	0
abarrateguia	abarrategia	abarrategi
abarrazcoa	abarrazkoa	0
abarreztu	abarreztu	0
abarroscatu	abarroskatu	0
abarrosguillea	abarrosgilea	0
abarrotsa	abarrotsa	0
abazuza	abazuza	0
abazuzac joa	abazuzac joa	0
abazuza eguin	abazuza egin	0
abazuza erortea	abazuza erortea	0
abazuzari	abazuzari	0
abazuzari eraunstea	abazuzari eraunstea	0
abdazpitu	abdazpitu	0
abea	abea	0
abeac	abeak	0
abecaria	abekaria	0
abecariz	abekariz	0
abeceá	abezeá	0
abegorra	abegorra	0
abegortu	abegortu	0
abegortua	abegortua	0
abejon	abejon	0
abendua	abendua	abendu
aberastasuna	aberastasuna	aberastasun
aberastu	aberastu	aberastu
aberatsa	aberatsa	aberats
aberatsá	aberatsá	0
aberatsi	aberatsi	aberatsi
aberatsquiro	aberatskiro	0
aberea	aberea	abere
abereac edanerazo	abereac edanerazo	0
abereac edateratu	abereac edateratu	0
abereac larritu	abereac larritu	0
abereac malsotu	abereac malsotu	0
abereac tresnabaguetu	abereac tresnabagetu	0
abere adar bacocha	abere adar bakotxa	0
aberé adár bacocha	aberé adár bakotxa	0
abereai jarrai	abereai jarrai	0
aberearena	aberearena	0
abere bat tiroquertzea	abere bat tirokertzea	0
aberechoa	aberetxoa	aberetxo
abere dia	abere dia	0
abereen edatoquia	abereen edatokia	0
abereguisacoa	aberegisakoa	0
aberequeria	aberekeria	aberekeria
aberequiro	aberekiro	0
aberequiró	aberekiró	0
aberero	aberero	0
aberetarra	aberetarra	0
aberetasuna	aberetasuna	aberetasun
aberetresna	aberetresna	0
aberetresnac quendu	aberetresnac kendu	0
aberetu	aberetu	aberetu
aberetú	aberetú	0
aberetua	aberetua	aberetu
aberetzarra	aberetzarra	0
aberia	aberia	aberia
abetoa	abetoa	0
abia	abia	abi
abia eguin	abia egin	0
abiatu	abiatu	abiatu
abiatua	abiatua	abiatu
abicaiztu	abikaiztu	0
abilidadea	abilidadea	abilidade
abillamendua	abilamendua	abilamendu
ablandar	ablandar	0
ablativoa	ablatiboa	ablatibo
aboaldea	aboaldea	0
aboaldia	aboaldia	0
aboatu	aboatu	aboatu
abodiac	abodiak	0
abodiatu	abodiatu	0
abodiatua	abodiatua	0
aboeztea	aboeztea	0
abollantza	aboilantza	0
abollar	aboilar	0
abollatu	aboilatu	0
abollatua	aboilatua	0
abollatzallea	aboilatzailea	0
abollatzea	aboilatzea	0
abominacion	abominazion	0
abominar	abominar	0
aboria	aboria	0
aboztua	aboztua	0
aboztuquia	aboztukia	0
abrasma	abrasma	0
abrea	abrea	0
abreá	abreá	0
abrearra	abrearra	0
abrebaslea	abrebaslea	0
abrequeria	abrekeria	abrekeria
abrequi	abreki	abreki
abrestasuna	abrestasuna	0
abretu	abretu	abretu
abretua	abretua	abretu
abreundea	abreundea	0
abrigatu	abrigatu	0
abrigua	abrigua	abrigu
abrildaria	abrildaria	0
abrildea	abrildea	0
abrolla	abroila	0
absolicioa	absolizioa	0
absolitzea	absolitzea	0
absoloigarriac	absoloigarriak	0
abstinennencia	abstinennentzia	0
abuina	abuina	0
abundamiento	abundamiento	0
abundancia	abundantzia	0
abundante	abundante	0
abundar	abundar	0
aburicatu	aburikatu	0
aburicaya	aburikaia	0
aburicoa	aburikoa	0
abuztua	abuztua	abuztu
acaa	akaa	0
acaar	akaar	0
aca atu	aka atu	0
acabable	akabable	0
acaballa	akabaila	akabaila
acaballá	akabailá	0
acabantzá	akabantzá	0
acabanza	akabantza	akabantza
acabar	akabar	0
acabatu	akabatu	akabatu
acabatua	akabatua	akabatu
acabatzea	akabatzea	0
acabera	akabera	akabera
acacia	akazia	akazia
acanalado	akanalado	0
acara	akara	akara
acaraquia	akarakia	0
acars	akars	0
acastu	akastu	akastu
acastua	akastua	akastu
acatsa	akatsa	akats
acatseguin	akatsegin	0
acbapartu	acbapartu	0
acbaquia	acbakia	0
accidente	aczidente	0
accidentea	aczidentea	0
accullatu	ackuilatu	0
acechanza	azetxantza	0
acechar	azetxar	0
aceitnna	azeitnna	0
acendatu	azendatu	0
acendatua	azendatua	0
acendrar	azendrar	0
acenduatu	azenduatu	0
aceni	azeni	0
acenia	azenia	0
acerdotea	azerdotea	0
acerolá	azerolá	0
acertadu	azertadu	0
acertadú	azertadú	0
acertaera	azertaera	0
achá	atxá	0
achacar	atxakar	0
achaga	atxaga	0
achagac	atxagak	0
achapartu	atxapartu	0
achaquia	atxakia	atxakia
achaquiduna	atxakiduna	0
acheden	atxeden	0
achedenlecua	atxedenlekua	atxedenleku
acherea	atxerea	0
achia	atxia	0
achiotea	atxiotea	0
achola	atxola	0
acholac erabilli	atxolac erabili	0
acholaritu	atxolaritu	0
acholdia	atxoldia	0
achordea	atxordea	0
achorro	atxorro	0
achorroa	atxorroa	0
achorroaga	atxorroaga	0
achorrotua	atxorrotua	0
achorrouillea	atxorrouilea	0
achrioa	atxrioa	0
achudarea	atxudarea	0
achurcada	atxurkada	atxurkada
achuria	atxuria	0
achurichoa	atxuritxoa	0
achuri taldea	atxuri taldea	0
achuri zaya	atxuri zaia	0
achurlaria	atxurlaria	atxurlari
achurlea	atxurlea	0
achurquintza	atxurkintza	atxurkintza
achurquinzea	atxurkintzea	0
achurra	atxurra	0
achurrada	atxurrada	0
achurtu	atxurtu	0
achurtua	atxurtua	0
achurtza	atxurtza	0
achurtzea	atxurtzea	0
achurtzeaz arrotu	atxurtzeaz arrotu	0
aci	azi	0
acia	azia	0
aciá	aziá	0
aciac ereitea	aziac ereitea	0
